article_number,image number,alt,article_heading
1,1, Novak Djokovic (@Getty Images),Novak Djokovic US Open 2024: Another big upset in US Open 2024 after Alcaraz now Novak Djokovic is also out
2,1,Carlos Alcaraz out from US Open 2024 (Credit: US Open),Carlos alcaraz US Open 2024: Another big upset in US Open world number 3 Carlos Alcaraz out defeated by an unknown player of 74th ranking
3,1,विंबलडन चैंपियन बारबोरा क्रेजिसिकोवा,Wimbledon champion Barbora Krejcikova knocked out of US Open in second round
4,1,यूएस ओपन 2024 में अपने पार्टनर के साथ यूकी भांबरी,US Open 2024: India's N Sriram Balaji and Yuki Bhambri advance in US Open register brilliant victory
5,1,Novak Djokovic (@Getty Images),Novak Djokovic vs Carlos Alcaraz Wimbledon 2024: Novak Djokovic will create a great record by winning Wimbledon Carlos Alcaraz is no less...
6,1,,Carlos Alcaraz: Now 'Alcaraz rules' tennis young Spanish sensation is hard to stop know why?
7,1,स्पेन के कार्लोस अल्कारेज और सर्बिया के स्टार टेनिस खिलाड़ी नोवाक जोकोविच.,Djokovic vs Alcaraz Wimbledon 2024 Final: Carlos Alcaraz's storm seen at Wimbledon... broke Novak Djokovic's dream won fourth Grand Slam
8,1,Barbora Krejcikova (@Getty Images),Wimbledon 2024: Barbora Krejcikova becomes the new queen of Wimbledon... Jasmine Paolini missed out on making history
9,1,,Carlos Alcaraz French Open Champion: French Open got a new champion how did Carlos Alcaraz become the new king of the red gravel?
10,1,Carlos Alcaraz (@Getty Images),French Open 2024: 21-year-old Carlos Alcaraz became the new king of red gravel... won the French Open by defeating Alexander Zverev
