website,category,article_number,image number,alt,article_heading,article_url
https://www.apnnews.com/,Music,1,1,"Suki Waterhouse poses for a portrait on Thursday, Sept. 12, 2024, in New York. (Photo by Matt Licari/Invision/AP)",Suki Waterhouse pens a ‘Memoir of a Sparklemuffin’ on her wide-ranging sophomore album,https://apnews.com/article/suki-waterhouse-memoir-of-a-sparklemuffin-album-175c28571877f77c3e9e7ce05b2c1b40
https://www.apnnews.com/,Music,2,1,"Fans gathered at the Royal Palm South Beach in Miami Beach, Fla., on Friday, Sept. 13, 2024, to celebrate the 40th anniversary of the television series ""Miami Vice."" Actor Bruce McGill, who guest-starred as retired detective Hank Weldon in the show's second season, signs a model Ferrari for a fan. (AP Photo/David Fischer)",Actors and fans celebrate the ‘Miami Vice’ television series’ 40th anniversary in Miami Beach,https://apnews.com/article/miami-vice-anniversary-florida-b1f342bfe61a81761f475fd98afdb8b8
https://www.apnnews.com/,Music,2,2,"Fans gathered at the Royal Palm South Beach in Miami Beach, Fla., on Friday, Sept. 13, 2024, to celebrate the 40th anniversary of the television series ""Miami Vice."" Actor Edward James Olmos, who played Lt. Martin Castillo, takes a photo with a fan. (AP Photo/David Fischer)",Actors and fans celebrate the ‘Miami Vice’ television series’ 40th anniversary in Miami Beach,https://apnews.com/article/miami-vice-anniversary-florida-b1f342bfe61a81761f475fd98afdb8b8
https://www.apnnews.com/,Music,2,3,"Fans gathered at the Royal Palm South Beach in Miami Beach, Fla., on Friday, Sept. 13, 2024, to celebrate the 40th anniversary of the television series ""Miami Vice."" Actress Olivia Brown, right, who played Detective Trudy Joplin, speaks with a fan. (AP Photo/David Fischer)",Actors and fans celebrate the ‘Miami Vice’ television series’ 40th anniversary in Miami Beach,https://apnews.com/article/miami-vice-anniversary-florida-b1f342bfe61a81761f475fd98afdb8b8
https://www.apnnews.com/,Music,2,4,"Fans gathered at the Royal Palm South Beach in Miami Beach, Fla., on Friday, Sept. 13, 2024, to celebrate the 40th anniversary of the television series ""Miami Vice."" (AP Photo/David Fischer)",Actors and fans celebrate the ‘Miami Vice’ television series’ 40th anniversary in Miami Beach,https://apnews.com/article/miami-vice-anniversary-florida-b1f342bfe61a81761f475fd98afdb8b8
https://www.apnnews.com/,Music,3,1,"This combination of album cover images shows ""7"" by Nelly Fertado, from left, ""High"" by Keith Urban, and ""Like All Before You"" by Julian Casablancas + The Voidz. (Republic Records-Casablanca Records/A Hit Red Records-Capitol Records Nashville/Cult Records via AP)","What to Stream: Keith Urban, ‘The Golden Bachelorette,’ Zack Snyder series and ‘WandaVision’ spinoff",https://apnews.com/article/streaming-tv-movies-music-sept-urban-0560ba05545110bfbfa9555041cb11f5
https://www.apnnews.com/,Music,3,2,"This combination of images shows promotional art for the Netflix series ""Twilight of the Gods,"" left, the Disney+ series ""Agatha All Along,"" center, and ABC's ""The Golden Bachelorette."" (Netflix/Disney+/ABC via AP)","What to Stream: Keith Urban, ‘The Golden Bachelorette,’ Zack Snyder series and ‘WandaVision’ spinoff",https://apnews.com/article/streaming-tv-movies-music-sept-urban-0560ba05545110bfbfa9555041cb11f5
https://www.apnnews.com/,Music,3,3,"This cover image released by Cult Records shows ""Like All Before You"" by Julian Casablancas + The Voidz. (Cult Records via AP)","What to Stream: Keith Urban, ‘The Golden Bachelorette,’ Zack Snyder series and ‘WandaVision’ spinoff",https://apnews.com/article/streaming-tv-movies-music-sept-urban-0560ba05545110bfbfa9555041cb11f5
https://www.apnnews.com/,Music,3,4,"This cover image released by A Hit Red Records/Capitol Records Nashville shows ""High"" by Keith Urban. (A Hit Red Records/Capitol Records Nashville via AP)","What to Stream: Keith Urban, ‘The Golden Bachelorette,’ Zack Snyder series and ‘WandaVision’ spinoff",https://apnews.com/article/streaming-tv-movies-music-sept-urban-0560ba05545110bfbfa9555041cb11f5
https://www.apnnews.com/,Music,3,5,"This cover image released by Republic Records/Casablanca Records shows ""7"" by Nelly Furtado. (Republic Records/Casablanca Records via AP)","What to Stream: Keith Urban, ‘The Golden Bachelorette,’ Zack Snyder series and ‘WandaVision’ spinoff",https://apnews.com/article/streaming-tv-movies-music-sept-urban-0560ba05545110bfbfa9555041cb11f5
