website,category,article_number,image number,alt,article_heading,article_url
https://www.apnnews.com/,US Supreme Court,1,1,"Voters walk to a voting precinct prior to dropping of their ballots Tuesday, July 30, 2024, in Guadalupe, Ariz. (AP Photo/Ross D. Franklin)","Supreme Court rejects GOP push to block 41K Arizona voters, but partly OKs proof of citizenship law",https://apnews.com/article/supreme-court-citizenship-elections-arizona-62b7e777cfdbb99242510e562de00781
https://www.apnnews.com/,US Supreme Court,1,2,"A precinct worker walks outside a voting location during the state's primary election, Tuesday, July 30, 2024, in Sun City West, Ariz. (AP Photo/Ross D. Franklin)","Supreme Court rejects GOP push to block 41K Arizona voters, but partly OKs proof of citizenship law",https://apnews.com/article/supreme-court-citizenship-elections-arizona-62b7e777cfdbb99242510e562de00781
https://www.apnnews.com/,US Supreme Court,1,3,"A voter walks to a voting precinct prior to casting his ballot in the state's primary election, Tuesday, July 30, 2024, in El Mirage, Ariz. (AP Photo/Ross D. Franklin)","Supreme Court rejects GOP push to block 41K Arizona voters, but partly OKs proof of citizenship law",https://apnews.com/article/supreme-court-citizenship-elections-arizona-62b7e777cfdbb99242510e562de00781
https://www.apnnews.com/,US Supreme Court,2,1,"This cover image released by Random House shows ""Lovely One"" by Ketanji Brown Jackson. (Random House via AP)","Justice Ketanji Brown Jackson is hitting the road to promote her new memoir, ‘Lovely One’",https://apnews.com/article/ketanji-jackson-supreme-court-memoir-2dd0fb43e7bd6929e97817e05847ca5a
https://www.apnnews.com/,US Supreme Court,2,2,"FILE - Supreme Court Justice Ketanji Brown Jackson, the first Black woman on the nation's highest court, speaks at the 60th Commemoration of the 16th Street Baptist Church bombing Sept. 15, 2023, in Birmingham, Ala. (AP Photo/Butch Dill, File)","Justice Ketanji Brown Jackson is hitting the road to promote her new memoir, ‘Lovely One’",https://apnews.com/article/ketanji-jackson-supreme-court-memoir-2dd0fb43e7bd6929e97817e05847ca5a
https://www.apnnews.com/,US Supreme Court,2,3,"FILE - President Joe Biden, left, greets Justice Ketanji Brown Jackson as he arrives to deliver the State of the Union address to a joint session of Congress at the Capitol, March 7, 2024, in Washington. (Shawn Thew/Pool via AP, File)","Justice Ketanji Brown Jackson is hitting the road to promote her new memoir, ‘Lovely One’",https://apnews.com/article/ketanji-jackson-supreme-court-memoir-2dd0fb43e7bd6929e97817e05847ca5a
https://www.apnnews.com/,US Supreme Court,2,4,"FILE - Justice Ketanji Brown Jackson is seen after her formal investiture ceremony at the Supreme Court, in Washington, Sept. 30, 2022. (AP Photo/J. Scott Applewhite, File)","Justice Ketanji Brown Jackson is hitting the road to promote her new memoir, ‘Lovely One’",https://apnews.com/article/ketanji-jackson-supreme-court-memoir-2dd0fb43e7bd6929e97817e05847ca5a
https://www.apnnews.com/,US Supreme Court,3,1,"FILE - Supreme Court Associate Justice Brett Kavanaugh is seen at the Capitol on Capitol Hill in Washington, Dec. 3, 2018. (Jabin Botsford/The Washington Post via AP, Pool)",Trial date set for man accused of trying to assassinate Supreme Court Justice Kavanaugh,https://apnews.com/article/supreme-court-threat-brett-kavanaugh-nicholas-roske-767c1c519906f0551328fdb3a503cc65
https://www.apnnews.com/,US Supreme Court,4,1,"Supreme Court Justice Neil Gorsuch poses for a portrait in his office at the Supreme Court, Monday, July 29, 2024, in Washington. Gorsuch is out with a new book in which he says ordinary Americans are ""getting whacked"" by too many laws and regulations. ""Over Ruled: The Human Toll of Too Much Law"" is being published on Tuesday, Aug. 6. (AP Photo/Rod Lamkey, Jr.)","Americans are ‘getting whacked’ by too many laws and regulations, Justice Gorsuch says in a new book",https://apnews.com/article/supreme-court-gorsuch-regulations-ethics-term-limits-3369051d70ec67942d72b5f2afd078d8
https://www.apnnews.com/,US Supreme Court,5,1,"FILE - The U.S Supreme Court is viewed from the lawn of the U.S. Capitol, June 20, 2024, in Washington. (AP Photo/Mariam Zuhaib, File)",Supreme Court won’t allow Oklahoma to reclaim federal money in dispute over abortion referrals,https://apnews.com/article/supreme-court-oklahoma-family-planning-title-x-3df24e69294f513e68634e6d6a146cf1
https://www.apnnews.com/,US Supreme Court,6,1,"FILE - The Supreme Court is seen at sundown in Washington, Nov. 6, 2020. (AP Photo/J. Scott Applewhite, File)",Supreme Court Justice Alito reports German princess gave him $900 concert tickets,https://apnews.com/article/supreme-court-samuel-alito-financial-disclosures-7989d3ed7c3a72e51547d56fa112094f
https://www.apnnews.com/,US Supreme Court,7,1,"FILE - Associate Justice Clarence Thomas joins other members of the Supreme Court as they pose for a group portrait in Washington, Oct. 7, 2022. The Democratic chairman of the Senate Finance Committee said Monday, Aug. 5, 2024, that Thomas failed to publicly disclose additional travel on GOP megadonor Harlan Crow's private jet. Senator Ron Wyden of Oregon wrote to Crow's lawyer asking about the trip. Wyden is backing an election-year push to tighten the high court's ethics rules. (AP Photo/J. Scott Applewhite, File)","Justice Clarence Thomas took undisclosed 2010 trip with GOP megadonor, Democratic senator finds",https://apnews.com/article/clarence-thomas-harlan-crow-jet-gop-donor-26268bf665ee2233f0e4c5ec836823b2
https://www.apnnews.com/,US Supreme Court,8,1,"FILE - The Supreme Court is seen, July 1, 2024, in Washington. The Supreme Court shut down a long-shot push from Missouri Monday, Aug. 5, seeking to remove a gag order in former President Donald Trump's hush-money case and delay his sentencing in New York. (AP Photo/Mariam Zuhaib, File)",Supreme Court shuts down Missouri’s long shot push to lift Trump’s gag order in hush-money case,https://apnews.com/article/supreme-court-donald-trump-hush-money-new-york-missouri-0ac6c30ebafb50e8652ca6be6109e32b
https://www.apnnews.com/,US Supreme Court,9,1,"FILE - The Supreme Court is seen at sundown in Washington, Nov. 6, 2020. (AP Photo/J. Scott Applewhite, File)",Supreme Court rebuffs Biden administration plea to restore multibillion-dollar student debt plan,https://apnews.com/article/supreme-court-biden-student-loans-f566c623ccb3f322523d7e0a2f88b0c5
https://www.apnnews.com/,US Supreme Court,10,1,"FILE - The Supreme Court is seen at sundown in Washington, Nov. 6, 2020. (AP Photo/J. Scott Applewhite, File)",Supreme Court keeps new rules about sex discrimination in education on hold in half the country,https://apnews.com/article/supreme-court-education-title-ix-transgender-rights-07cb05f13b4157ff6e017a559b7c8ffa
