image number,alt,article_heading,description,article_url
image_1_1.jpg,exp phone addiction guest intv 120803PSEG2 cnni world_00012801.png,It’s time for parents to learn manners around phone use,"The image depicts a professional setting with two individuals engaged in a conversation. The person on the left appears to be a woman dressed in a purple blouse, gesturing with her hands as she speaks. The person on the right appears to be a man in a dark suit, attentively listening to the woman. They are seated at a round table with a dark finish, which is positioned in front of a large window offering a view of a cityscape.  The image is overlaid with text that reads ""READING FOR SUCCEEDING"" in bold letters at the top, and ""HOW TO BREAK UP WITH YOUR PHONE: ESTABLISHING A BALANCE"" in a larger font at the bottom. The text suggests that the image is likely from a news article or blog post discussing the topic of finding a balance between using a phone and other aspects of life.  The style of the image is a composite, combining elements of a photograph with overlaid text to create an informative piece. The image is designed to convey a message about the importance of striking a balance in modern life, particularly in the context of technology use.",https://edition.cnn.com/2024/09/06/health/parents-phone-addiction-wellness/index.html
image_1_2.jpg,Overuse of technology often can rob both parents and children of positive interactions and quality time.,It’s time for parents to learn manners around phone use,"The image depicts a cozy indoor scene with two individuals. On the left, there is a young child lying on the floor, engrossed in play with a toy. The child is wearing a dark-colored top and jeans, and their hair is short. The child's position suggests they are comfortable and focused on their activity.  On the right, an adult woman is seated on a cushioned bench. She is dressed in a light blue denim shirt and blue jeans. The woman is holding a smartphone in her hands, her attention seemingly divided between the device and the child. Her posture is relaxed, and she appears to be in a casual, home environment.  The setting includes a patterned rug on the floor, which adds a touch of warmth to the scene. In the background, there is a glimpse of a room with a window, suggesting this is a domestic setting, possibly a living room or a family room. The overall atmosphere is one of comfort and domestic tranquility.",https://edition.cnn.com/2024/09/06/health/parents-phone-addiction-wellness/index.html
image_2_1.jpg,brielle elliott,Work that White people can do to create a just world,"The image shows a person with curly hair, smiling at the camera. The individual appears to be outdoors, as suggested by the presence of greenery and a fence in the background. The person is wearing a dark top with a pattern that includes shades of blue and pink. The lighting suggests it might be a sunny day. The person's expression is friendly and approachable.",https://edition.cnn.com/2024/09/05/health/anti-racism-daily-practice-jennifer-harvey-wellness/index.html
image_2_2.jpg,"The new book ""Anti-Racism as Daily Practice"" is intended to be a ""container for learning,"" its author says.",Work that White people can do to create a just world,"The image is a book cover with a plain white background and text in a combination of orange and black fonts. The title of the book is prominently displayed in large, bold orange letters at the top. Below the title, the author's name is written in smaller black font. The text on the cover reads:  ""Anti- Racism Change White Communities As Daily And Help Create A Just World Jennifer Harvey""  The font used for the title is sans-serif, which gives it a modern and clean look. The author's name is in a serif font, which contrasts with the title and adds a touch of elegance. The overall design is simple and straightforward, focusing on the message of the book without any additional graphics or images.",https://edition.cnn.com/2024/09/05/health/anti-racism-daily-practice-jennifer-harvey-wellness/index.html
image_2_3.jpg,"Author Jennifer Harvey says, “If silence about race is the norm, that doesn’t mean racism isn’t happening. If no one speaks up, racism is given a pass.""",Work that White people can do to create a just world,"The image shows a person standing against a dark background. The individual appears to be a middle-aged adult with short, dark hair. They are wearing a white, button-up shirt and glasses. The person is smiling and has their arms crossed, with one hand resting on their hip. They are also wearing a watch on their left wrist. The lighting in the photo is soft and even, highlighting the person's face and upper body. There are no visible texts or distinctive logos in the image. The style of the image is a portrait, commonly used for professional profiles or personal identification.",https://edition.cnn.com/2024/09/05/health/anti-racism-daily-practice-jennifer-harvey-wellness/index.html
image_2_4.jpg,"The best way for White people to take immediate action is to reach out to an organization led by people of color and offer help, Harvey suggests.",Work that White people can do to create a just world,"The image depicts two hands clasped together against a plain, light-colored background. The hand on the left appears to be of a darker skin tone, possibly indicating a person of African descent, while the hand on the right appears to be of a lighter skin tone, possibly indicating a person of European descent. Both hands are positioned with the palms facing upwards and the fingers interlocked, suggesting a gesture of unity, friendship, or solidarity. The skin texture and nail condition are visible, showing natural variations in skin tone and nail growth. There are no visible texts or distinguishing marks that provide additional context within the image. The style of the image is a straightforward, unembellished photograph with a focus on the hands and their interlocked position.",https://edition.cnn.com/2024/09/05/health/anti-racism-daily-practice-jennifer-harvey-wellness/index.html
image_3_1.jpg,couch workout 3,"Chair yoga is not just for older people. It’s good for everyone, especially the desk-bound","The image depicts a woman sitting on a large, gray sectional sofa in a cozy living room setting. She is wearing a casual blue t-shirt with a graphic on the front and dark leggings. Her blonde hair is styled in loose waves, and she is smiling broadly, with her hands raised near her face as if she is excited or gesturing during a conversation.  The woman appears to be in a comfortable and relaxed environment, with a bowl of popcorn on a wooden coffee table in front of her, suggesting a casual, leisurely activity like watching a movie or a sports game. The room has a warm and inviting ambiance, with a wooden floor and a rug with a geometric pattern under the sofa. There are various decorative items and plants around the room, including a clock on the wall and a potted plant in the background.  The kitchen area is visible in the background, featuring a refrigerator, a microwave, and a sink, indicating that the living space is part of an open-concept design that combines the living room and kitchen areas. The overall style of the image is a candid, real-life photograph that captures a moment of leisure and enjoyment.",https://edition.cnn.com/2024/09/03/health/chair-yoga-flexibility-stress-relief-wellness/index.html
image_3_2.jpg,"Chair yoga, such as seated twists, is traditional yoga performed while sitting in or using a chair. Regardless of age, it's great for everyone, especially those glued to their desks during the workday.","Chair yoga is not just for older people. It’s good for everyone, especially the desk-bound","The image depicts a woman seated on a white folding chair with a blue cushion on the seat. She is wearing a blue tank top and black leggings with a floral pattern. Her hair is tied back in a ponytail, and she appears to be looking upwards towards a piece of wall art. The wall art consists of a collection of branches with leaves and flowers, arranged in a vertical line. The background features a brick wall, and there is a glimpse of a room with a wooden floor and a television on a stand to the right. The lighting suggests it might be daytime, with natural light coming through a window or another opening not visible in the image. The overall setting seems to be a home or a casual indoor space.",https://edition.cnn.com/2024/09/03/health/chair-yoga-flexibility-stress-relief-wellness/index.html
image_4_1.jpg,Girl texting on smartphone at home,Your children’s smartphones aren’t making them smarter,"The image depicts a person sitting on a bed, engrossed in their phone. The individual appears to be a young adult, possibly a woman, based on the visible portion of the body. They are wearing a cozy, knitted sweater with a pattern that suggests a casual, comfortable style. The sweater has a ribbed texture and is a light color, which could be beige or cream.  The person is holding a smartphone in their hands, which they are looking at intently. The phone is held at a slight angle, with the screen visible and the person's fingers wrapped around the device, indicating active use.  The setting appears to be a bedroom, as suggested by the presence of a bed and the soft, warm lighting that gives the scene a cozy feel. There are also some decorative elements in the background, such as what looks like a string of lights or a garland, which might suggest a festive or holiday season.  The image has a warm color palette, with soft lighting that creates a relaxed and intimate atmosphere. The focus is on the person and their interaction with the phone, capturing a moment of modern life where technology plays a significant role in daily activities.",https://edition.cnn.com/2024/09/02/health/phones-allowed-school-children-wellness/index.html
image_4_2.jpg,Children may spend less time talking and hanging out with friends if they're busy checking their phones at lunch or recess.,Your children’s smartphones aren’t making them smarter,"The image depicts a casual scene with three individuals. The central figure is a person wearing a bright yellow top and blue jeans, holding a smartphone in their right hand. They appear to be in the process of using the phone, possibly texting or browsing. The person is also carrying a brown bag over their shoulder.  To the left of the central figure, there is another person wearing a green top and a brown jacket. This individual is partially visible, with only the torso and part of the arm shown.  On the right side of the central figure, there is a third person, only partially visible. This person is wearing a red top and blue jeans, and they are also carrying a brown bag.  The setting appears to be an indoor space with a tiled floor, suggesting it could be a public area like a mall or a transit station. The lighting is soft and ambient, indicating an indoor environment with natural or artificial lighting. The overall atmosphere is relaxed and everyday.",https://edition.cnn.com/2024/09/02/health/phones-allowed-school-children-wellness/index.html
