,image_1_1,image_2_1,image_3_1,image_3_2,image_3_3,image_5_1,image_6_1,image_6_2,image_7_1,image_8_1,image_9_1,image_10_1,image_12_1
image_1_1,4,4,0,0,0,0,0,0,0,0,0,0,0
image_2_1,4,4,0,0,0,0,0,0,0,0,0,0,0
image_3_1,0,0,4,0,0,0,0,0,0,0,0,0,0
image_3_2,0,0,0,4,0,0,0,0,0,0,0,0,0
image_3_3,0,0,0,0,4,0,0,0,0,0,0,0,0
image_5_1,0,0,0,0,0,4,4,4,2,0,0,0,2
image_6_1,0,0,0,0,0,4,4,0,2,0,0,0,2
image_6_2,0,0,0,0,0,4,0,4,0,0,0,0,0
image_7_1,0,0,0,0,0,2,2,0,4,2,2,0,4
image_8_1,0,0,0,0,0,0,0,0,2,4,4,0,2
image_9_1,0,0,0,0,0,0,0,0,2,4,4,0,2
image_10_1,0,0,0,0,0,0,0,0,0,0,0,4,0
image_12_1,0,0,0,0,0,2,2,0,4,2,2,0,4
