article_number,image number,alt,article_heading
1,1,Cancer treatment,Immunotherapy achieves remarkable survival rates in a handful of tumors
2,1,TDAH salud mental,Being distracted doesn’t mean you have ADHD: The danger of self-diagnosis in teenagers
3,1,Diego Hidalgo,Diego Hidalgo: ‘Banning the sale of phones to teenagers would empower parents’
3,2,Diego Hidalgo is also the driving force behind the OFF Manifesto an initiative that advocates for the control of technology.,Diego Hidalgo: ‘Banning the sale of phones to teenagers would empower parents’
4,1,Rows of lettuce crop in England.,Extreme weather and epidemics: How 75 people were hospitalized after eating contaminated lettuce
5,1,Fármacos radioactivos contra el cáncer,New generation of radioactive drugs strike cancer with molecular precision
5,2,Use of radiation to kill cancer cells has a long history. In this 1915 photo a woman receives “roentgenotherapy” — treatment with X-rays — directed at an epithelial-cell cancer on her face.,New generation of radioactive drugs strike cancer with molecular precision
5,3,This graphic describes the basics of radiopharmaceuticals.,New generation of radioactive drugs strike cancer with molecular precision
5,4,Radiotherapy drugs require special packaging inside lead containers and lined boxes and swift precise delivery to the sites where they will be used in treatments.,New generation of radioactive drugs strike cancer with molecular precision
5,5,Interest in use of alpha particles in radiopharmaceuticals is growing because the alpha particles can be more precisely targeted to cancerous tissues and have stronger localized cell-killing properties.,New generation of radioactive drugs strike cancer with molecular precision
6,1,Illustration depicting a large group of diverse people with different states and thoughts.,The science of Stoicism: Does it really improve mental health?
7,1,Microbios patógenos,Pathogenic microbes can travel thousands of miles through the atmosphere
8,1,Daniel Alba Olano a worker at the CNIO biobank opens one of the containers where the samples from the collection are kept.,Biological samples from flight attendants may shed light on how jet lag affects health
8,2,María Casanova-Acebes CNIO biologist.,Biological samples from flight attendants may shed light on how jet lag affects health
8,3,Alba de Juan biologist at CNIO.,Biological samples from flight attendants may shed light on how jet lag affects health
9,1,Gripe aviar Ecuador,Bird flu pandemic preparedness activities are not evidence of a conspiracy
9,2,A microbiologist analyzing poultry samples for the presence of avian influenza at the Wisconsin Veterinary Diagnostic Laboratory in March 2022.,Bird flu pandemic preparedness activities are not evidence of a conspiracy
9,3,Gripe aviar Arbeca Barcelona,Bird flu pandemic preparedness activities are not evidence of a conspiracy
9,4,Carcasses of chickens affected by the outbreak of avian influenza are removed from a macro-poultry farm in Íscar Valladolid (Spain) in February 2022.,Bird flu pandemic preparedness activities are not evidence of a conspiracy
9,5,Robert F. Kennedy Jr. speaks at a rally for Republican presidential candidate Donald Trump in Glendale Arizona August 23 2024.,Bird flu pandemic preparedness activities are not evidence of a conspiracy
10,1,Ideas 25/08/24 WEB,‘Leave me alone’ the wish that should be considered a right  
10,2,A bather enjoys solitude on a beach on the Greek island of Mykonos in 1976.,‘Leave me alone’ the wish that should be considered a right  
10,3,Soledad,‘Leave me alone’ the wish that should be considered a right  
