article_number,image number,alt,article_heading
1,1,Maná,Mexican band Maná withdraws its collaboration with Nicky Jam who endorsed Donald Trump: ‘We don’t work with racists’
1,2,Nicky Jam,Mexican band Maná withdraws its collaboration with Nicky Jam who endorsed Donald Trump: ‘We don’t work with racists’
2,1,intento de asesinato de Donald Trump,Apparent assassination attempt against Donald Trump shakes up the campaign once again
3,1,El desfile del día nacional de Puerto Rico el 9 de junio en Nueva York.,The key fight between Harris and Trump for the Puerto Rican vote in the diaspora: from Anuel AA to Miguel Cardona
3,2,Puerto Rican flags,The key fight between Harris and Trump for the Puerto Rican vote in the diaspora: from Anuel AA to Miguel Cardona
3,3,Puerto Rican Festival,The key fight between Harris and Trump for the Puerto Rican vote in the diaspora: from Anuel AA to Miguel Cardona
3,4,Puerto Rico delegation,The key fight between Harris and Trump for the Puerto Rican vote in the diaspora: from Anuel AA to Miguel Cardona
4,1,Familias haitianas en Estados Unidos,No they’re not eating dogs or cats: The real situation of Haitian migrants in the United States
4,2,Campamento migrantes,No they’re not eating dogs or cats: The real situation of Haitian migrants in the United States
5,1,Republican presidential nominee former President Donald Trump arrives at Harry Reid International Airport to board a plane after a campaign trip Saturday Sept.14 2024 in Las Vegas.,FBI investigating apparent ‘attempted assassination’ on Trump at his Florida golf club
5,2,Sheriff Ric L. Bradshaw shows a picture of an AK-style rifle with a scope and bags found by the Secret Service at the Trump International Golf Club in West Palm Beach Florida.,FBI investigating apparent ‘attempted assassination’ on Trump at his Florida golf club
6,1,A child immigrant sleeps on the floor in Tapachula Chiapas in 2021.,Kids who migration left behind: The challenging rescue of children who have been victims of violence in Mexico 
7,1,Denver migrants,A roof over their head English lessons and job training: Denver offers another model for migrants
7,2,WorkReady Denver,A roof over their head English lessons and job training: Denver offers another model for migrants
7,3,WorkReady Denver,A roof over their head English lessons and job training: Denver offers another model for migrants
7,4,WorkReady Denver,A roof over their head English lessons and job training: Denver offers another model for migrants
8,1,Miguel Díaz-Canel,Former world leaders ask Biden to remove Cuba from list of state sponsors of terrorism
9,1,Ismael ‘El Mayo’ Zambada,Ismael ‘El Mayo’ Zambada set to appear in New York courtroom
10,1,Soldiers in formation during military exercises in Formosa Brazil on September 11.,US and Chinese soldiers take part in joint military exercises in Brazil
10,2,Brazilian forces conduct military exercises in Operation Formosa on Wednesday.,US and Chinese soldiers take part in joint military exercises in Brazil
