image number,alt,article_heading,description
image_1_1.jpg,Anne Genetet deputy Renaissance des Français established outside France on 16 May 2019 in Paris. (LUC NOBOUT/MAXPPP),"Anne Genetet minister of national education: the teaching unions denounce ""an error of casting""","The image shows a woman with blonde hair, wearing a red blazer over a white top. She appears to be in a professional setting, possibly an office, as suggested by the presence of a wall with what looks like a framed picture or poster in the background. The woman is looking directly at the camera with a serious expression, and her gaze is focused. She is wearing a necklace, which is visible at the neckline of her blazer. The lighting in the room is soft, and the overall tone of the image is formal and professional."
image_2_1.jpg,The Ministry of National Education in Paris. (MAGALI COHEN / HANS LUCAS / AFP),Remuneration of teachers number of students per class groups of needs… These files are burning in the hands of Anne Genet at the Ministry of Education National.,"The image depicts a grand, classical-style building with a prominent entrance. The facade of the building is adorned with ornate architectural details, including columns and decorative moldings. The entrance is framed by a large, arched structure with a pediment, and the words ""MINISTÈRE DE L'ÉDUCATION NATIONALE"" are inscribed above it, indicating that this is a government building, specifically the Ministry of Education in France. The building's exterior is painted in a light color, possibly beige or cream, and there are balconies with wrought-iron railings on the upper levels. The windows are evenly spaced and appear to be of a standard design. The overall impression is of a formal and institutional building, likely located in a city center or a similar urban setting."
image_3_1.jpg,The programming of the 8th season of Quarters remains to be discovered in the rooms from 25 September 2024. (SUDU CONNECTION),"Quartiers lotains 2024 : The court-films of the 8th season available for the lycées and the apprentices ""cinema"" of the region Auvergne-Rhône-Alpes","The image appears to be the cover of a book titled ""RESISTANCES"" in large, bold, white letters at the bottom. The background is a solid pink color. There are three stylized figures, each wearing a different colored hijab, facing away from the viewer. The figure on the left has a yellow hijab, the one in the middle has a purple hijab, and the figure on the right has a pink hijab. The figures are drawn in a simple, cartoon-like style with minimal shading and detail, giving the image a graphic novel or comic book feel. The text at the bottom suggests that the book is part of a collection of stories from a specific region or culture, as indicated by the phrase ""UNE COLLECTION DE COURTS MÉTÉRAGÉS DU SUD AU NORD DE L'HÉMISPHERE,"" which translates to ""A COLLECTION OF SHORT STORIES FROM THE SOUTH TO THE NORTH OF THE HEMISPHERE."""
image_3_2.jpg,"Movie of ""Resistances"" the 8th season of ""Quartiers lointains"". (SUDU CONNECTION)","Quartiers lotains 2024 : The court-films of the 8th season available for the lycées and the apprentices ""cinema"" of the region Auvergne-Rhône-Alpes","The image appears to be a poster for a film or event. The background is a solid pink color. At the top, there is text that reads ""SUDU CONNECTION PRESENTS"" in white capital letters. Below this, there is a graphic of three stylized female figures, each wearing a hijab in a different color: one in yellow, one in purple, and one in pink. The figures are facing forward, and their expressions are neutral.  Centered on the poster is the word ""RESISTANCES"" in large, bold, white capital letters. Below this title, there is additional text that reads ""UNE COLLECTION DE COURTS MÉTRAGES DU SUD AU NORD DE L'HÉMISPHERE,"" which suggests that the content is a collection of short films from the southern part of the northern hemisphere.  At the bottom of the poster, there are logos for various sponsors or partners, including ""NOIR CINÉMA,"" ""FILM FESTIVAL,"" ""MINISTÈRE DE LA CULTURE,"" ""ACADÉMIE DES ARTS,"" ""UNION DES FÉDÉRATIONS,"" ""LA RÉGION,"" and others. These logos indicate that the event is supported by a variety of cultural and artistic organizations.  The overall style of the poster is graphic and modern, with a clear focus on the theme of resistance, as suggested by the title. The use of bright colors and bold typography gives the"
image_4_1.jpg,Attention to the volume of personal data via fake sites internet (MALTE MUELLER / FSTOP),"The true or false junior answers questions on the brand ""voirmaclasse.com""","The image presents a stylized illustration of a person shopping online. The central figure is a silhouette of a person, depicted in a dynamic pose as if they are reaching out to select items from a shopping cart. The silhouette is set against a backdrop that resembles a laptop screen, suggesting the act of browsing and purchasing items online.  The laptop is shown in a simplified, flat design with a white keyboard and a black screen. The screen displays a reflection of the shopping cart, which is also depicted in a simplified, flat design. The shopping cart contains various items, including what appears to be a bottle and a book, indicating a typical online shopping scenario.  The overall color scheme is minimalistic, with a focus on the silhouette and the laptop, both rendered in shades of gray. The background is a light blue, providing a contrast that highlights the main elements of the image. The style of the illustration is modern and clean, with a clear emphasis on the concept of online shopping rather than the specific details of the items being purchased."
image_4_2.jpg,"Capture screen of the fake site ""voirmaclasse.com"" recorded via the site ""archive.org"" (CAPTURE SCREEN OF THE FAKE SITE VOIRMACLASSE.COM)","The true or false junior answers questions on the brand ""voirmaclasse.com""","The image appears to be a screenshot of a web interface, possibly from a website or an online application. The interface is predominantly white with blue and gray accents. At the top of the screen, there is a navigation bar with the text ""VoireMaClasse.com,"" which suggests that the website might be related to educational content or services.  Below the navigation bar, there is a section titled ""Nouvelles,"" which translates to ""News"" in English. This section seems to be a feed of news articles or updates, with a placeholder text ""Lorem ipsum dolor sit amet,"" which is commonly used in design mockups to represent where actual content would go.  Further down, there is a section titled ""Type d'enseignement,"" which translates to ""Type of Education."" This section likely contains options for different educational levels or types, such as ""Primaire,"" ""Collège,"" and ""Lycée,"" which are the French terms for primary, middle, and high school, respectively.  At the bottom of the screen, there is a blue button with the text ""Continuer à la classe,"" which translates to ""Continue to class."" This button suggests that the user can click to proceed to the next section or lesson.  The overall design is clean and simple, with a focus on functionality. The use of placeholder text and the absence of actual content suggest that this is a template or a draft version of the website."
image_5_1.jpg,A teacher addresses his students in a classroom on the day of entry into an elementary school in Mulhouse (Haut-Rhin) 4 September 2023. Photo d'illustration. (SEBASTIEN BOZON/AFP),"Testimonies ""This is causing students to fail from the beginning of the year"": why some teachers have entered ""pedagogical resistance"" against the national assessments","The image depicts an indoor setting that appears to be a classroom or lecture hall. The room is furnished with multiple desks and chairs, arranged in rows, suggesting a structured seating arrangement typical of educational environments. The desks are unoccupied, and the chairs are mostly empty, with only a few individuals seated.  In the foreground, there is a large window with blinds partially drawn, allowing natural light to enter the room. The window provides a view of the outside, which includes trees and a clear sky, indicating that the photo was taken during the day.  A person stands at the front of the room, facing the audience. This individual is holding what appears to be a whiteboard or a large piece of paper, and they seem to be presenting or teaching to the group. The person is dressed in casual attire, and their posture suggests they are engaged in a discussion or explanation.  The walls of the room are painted in a light color, and there is a red accent on one side, which adds a pop of color to the otherwise neutral-toned space. The floor is a dark color, providing a contrast to the lighter walls and furniture.  The lighting in the room is bright, with natural light coming through the window and artificial light from overhead fixtures. The overall ambiance of the room is calm and focused, with the person at the front of the room appearing to be the center of attention."
image_6_1.jpg,A study showed that filtering media on social networks brings less satisfaction than diving into a content from the beginning to the end. Photo illustration. (FOTOSTORM / E+),Social networks: scroller shows a trend to increase the feeling of ennui reveals a study,"The image depicts a young woman sitting comfortably in a room, engrossed in her phone. She is wearing a cozy, light-colored sweater and has her hair tied back. Her posture suggests she is relaxed and at ease. The phone she's holding is a modern design with a blue and black color scheme, and she appears to be looking at the screen intently. The room has a homely feel with a glimpse of a bookshelf in the background, indicating a personal space. The lighting is soft and ambient, contributing to the overall calm and intimate atmosphere of the scene."
image_7_1.jpg,Students in a university photo illustration. (LIONEL LE SAUX / MAXPPP),Higher education: four universities at five risk of ending the year in deficit according to Snesup-FSU,"The image depicts an indoor setting that appears to be a lecture hall or classroom. The room is filled with people, most of whom are seated on chairs arranged in rows. The audience is diverse, with individuals of various ages and genders, and they seem to be engaged in a lecture or presentation.  In the foreground, there is a person who is seated and appears to be using a laptop. This individual is wearing a white shirt and has their hair tied back. They are seated at a desk, which is typical of a classroom setting.  The room itself has a modern design with a concrete floor and a green chalkboard at the front, which is a common feature in educational settings. There are no visible texts or logos in the image that provide additional context or information about the location or the event taking place.  The lighting in the room is bright, suggesting that the event is taking place during the day. The overall atmosphere seems to be focused and attentive, with the audience members facing forward, indicating that they are listening to a speaker or presentation."
image_8_1.jpg,A request to the chef of the establishment is essential when a child wishes to change class (photo illustration September 17 2024). (CHRISTINE DUMAS / MAXPPP),School entry: Can I change my child's class?,"The image depicts an indoor setting that appears to be a classroom or study area. There are two individuals seated at a table, facing towards the front of the room where a whiteboard is visible. The person on the left is wearing a dark-colored jacket and has a backpack with a red interior visible on the left side. The person on the right is wearing a dark top with a striped pattern and has a backpack with a floral pattern on the right side. Both individuals seem to be engaged in an activity, possibly related to education or study, as suggested by the presence of the whiteboard and the focused demeanor of the individuals. The room has a simple, functional design with wooden furniture and a tiled floor. There are other people in the background, but they are not the main focus of the image. The lighting is bright, and the overall atmosphere is one of concentration and learning."
