image number,alt,article_heading,article_url,description
image_1_1.jpg,A class full of primary school children at their desks,"UK primary class sizes among biggest in industrialised world, report finds",https://www.theguardian.com/education/article/2024/sep/10/uk-primary-class-sizes-among-biggest-in-industrialised-world-report-finds,"The image depicts a classroom scene with a group of children sitting at desks. The children are wearing blue uniforms, which suggests they are part of a school with a uniform policy. The desks are yellow, and there are various items on them, including pens, pencils, and a few books. The classroom has a colorful and vibrant atmosphere, with colorful posters and decorations on the walls. The children appear to be engaged in an activity, possibly a lesson or a group discussion, as they are raising their hands and looking towards the front of the room. The overall mood of the image is lively and educational."
image_2_1.jpg,Technical facilities at Surrey aim to give students a taste of the workplace.,Ones to watch: three rising stars of this year’s university guide,https://www.theguardian.com/education/article/2024/sep/07/three-rising-stars-of-this-years-university-guide-surrey-bath-lancaster,"The image depicts a group of individuals, presumably scientists or laboratory technicians, gathered around a workbench. They are all wearing white lab coats, which are standard attire for individuals working in a scientific or laboratory setting. The lab coats are typically worn to protect clothing from spills and stains that can occur during experiments.  The individuals are engaged in what appears to be a collaborative activity, possibly conducting an experiment or discussing a project. Some of them are wearing protective eyewear, which is common in laboratories to shield the eyes from splashes or particles that could cause injury.  The workbench is equipped with various scientific instruments and equipment, suggesting that the setting is a laboratory. There are beakers, test tubes, and other containers that are commonly used in chemical or biological experiments. The presence of these items indicates that the group is likely involved in some form of scientific research or analysis.  The individuals are standing close to each other, which suggests a sense of camaraderie or teamwork. Their expressions and body language convey a sense of focus and engagement, which is typical of individuals working in a professional scientific environment.  Overall, the image captures a moment of scientific collaboration and discovery, with the individuals actively participating in their work."
image_2_2.jpg,"… Prof Max Lu, vice-chancellor at the University of Surrey.",Ones to watch: three rising stars of this year’s university guide,https://www.theguardian.com/education/article/2024/sep/07/three-rising-stars-of-this-years-university-guide-surrey-bath-lancaster,"The image depicts a man standing in front of a large, spherical structure that resembles a geodesic dome. The man is dressed in a dark suit with a tie, suggesting a formal or professional attire. He is wearing glasses and has a neutral expression on his face. The geodesic dome is made of metal and has a complex pattern of interconnected triangles that give it its distinctive shape. The background shows a park setting with trees and benches, indicating an outdoor location. The sky is partly cloudy, suggesting it might be a pleasant day. The man appears to be posing for the photograph, standing with his body facing the camera and his head turned slightly to the side."
image_2_3.jpg,a graduation at the University of Bath.,Ones to watch: three rising stars of this year’s university guide,https://www.theguardian.com/education/article/2024/sep/07/three-rising-stars-of-this-years-university-guide-surrey-bath-lancaster,"The image depicts a graduation ceremony taking place in an outdoor setting. At the center of the image, there is a group of individuals dressed in graduation gowns and caps, standing in front of a large monument or statue. The monument appears to be a significant feature of the location, possibly a university or a historical site. The graduates are arranged in a formation, suggesting a formal event.  In the background, there is a crowd of people, likely attendees of the ceremony, watching the graduates. The crowd is diverse, with individuals of various ages and attire, indicating a public event. The setting is a park or a garden, with trees and greenery surrounding the area, providing a natural and serene backdrop to the event.  The sky is clear and blue, suggesting a pleasant day for an outdoor ceremony. The lighting is bright, indicating that the photo was taken during the day. There are no visible texts or distinctive brands in the image. The overall atmosphere of the image is one of celebration and achievement, capturing a moment of transition for the graduates."
image_3_1.jpg,Anne Fine sits on the edge of a desk in a room lined with books on shelves,Anne Fine: children should be allowed to learn online instead of going to school,https://www.theguardian.com/education/article/2024/sep/07/anne-fine-children-should-allowed-learn-online-instead-school,"The image depicts an older woman sitting comfortably in an office setting. She is wearing a dark-colored cardigan over a black top, and her hair is styled in a bob cut. She is smiling and looking directly at the camera, exuding a sense of warmth and approachability.  The woman is seated at a desk that is cluttered with various items, including a computer monitor, a cup, and several writing utensils. Behind her, there is a bookshelf filled with an array of books, suggesting that she might be an avid reader or a professional in a field that requires extensive knowledge. The room has a cozy and lived-in feel, with personal items and decorations that give it a homely touch. The lighting is soft and ambient, casting a gentle glow on the scene."
image_4_1.jpg,A protester dressed as bishop in a night-time march,Religious groups ‘spending billions to counter gender-equality education’,https://www.theguardian.com/global-development/article/2024/sep/11/religious-groups-christians-islamists-catholic-billions-counter-gender-equality-sex-education-lgbtq-equal-rights,"The image depicts a nighttime scene with a crowd of people gathered on a street. The central figure is a man dressed in traditional religious attire, specifically that of a Catholic priest. He is wearing a red robe with gold trim, a white cassock, and a tall, pointed hat with a golden band and a cross on the front. The priest is looking directly at the camera with a serious expression.  The crowd consists of individuals of various ages and attire, some of whom are holding signs or banners, suggesting that this might be a protest or demonstration. The setting appears to be an urban environment with streetlights illuminating the scene. In the background, there is a building with a dome and a flagpole, which could be a government building or a church. The overall atmosphere is solemn and the lighting suggests it is either dusk or nighttime."
image_4_2.jpg,"Angry-looking young black men shouting and waving placards, the most prominent saying a 'walk for upholding family values' ",Religious groups ‘spending billions to counter gender-equality education’,https://www.theguardian.com/global-development/article/2024/sep/11/religious-groups-christians-islamists-catholic-billions-counter-gender-equality-sex-education-lgbtq-equal-rights,"The image depicts a group of people gathered in what appears to be a protest or demonstration. The individuals are diverse in age and attire, with some wearing traditional clothing and others in more contemporary styles. They are holding up signs and banners, with one prominent sign reading ""A WALK FOR UPHOLDING FAMILY VALUES."" The text suggests that the gathering is focused on promoting and preserving family values. The setting seems to be an urban environment, with buildings visible in the background. The mood of the image is one of unity and activism, as the group stands together, expressing their collective message."
image_5_1.jpg,Student using a calculator in an exam,IGCSE maths preparation is easier than GCSE,https://www.theguardian.com/education/article/2024/sep/09/igcse-maths-preparation-is-easier-than-gcse,"The image depicts a person's hands interacting with a blue cell phone and a piece of paper. The person's right hand is holding the phone, which appears to be a Nokia model, known for its classic design with a numeric keypad. The left hand is holding a blue pen, which is being used to write on the paper. The paper is white and has some text on it, but the specific content of the text is not clear from the image. The background is blurred, but it seems to be an indoor setting with a red surface, possibly a table or desk. The focus of the image is on the interaction between the person and the cell phone, suggesting a moment of communication or note-taking."
image_6_1.jpg,Maths club … know the ins and outs of how student loans work.,How to afford university: from loans and grants to part-time work,https://www.theguardian.com/education/article/2024/sep/08/how-to-afford-university-from-loans-and-grants-to-part-time-work,"The image depicts a group of four young adults engaged in a collaborative activity. They are seated around a table, which is covered with various items including laptops, books, and papers. The individuals appear to be focused on their work, with expressions of concentration and engagement. The setting suggests an educational or academic environment, possibly a library or study area, given the presence of bookshelves filled with books in the background. The lighting is bright, and the overall atmosphere is one of productivity and teamwork."
image_6_2.jpg,"Bar work can be a fun way to top up your earnings, make sure too many late hours don’t affect your studies.",How to afford university: from loans and grants to part-time work,https://www.theguardian.com/education/article/2024/sep/08/how-to-afford-university-from-loans-and-grants-to-part-time-work,"The image depicts three individuals, presumably women, gathered together in what appears to be a social setting. They are all holding drinks in their hands, with the drinks being pink and containing what looks like a fruit or a fruit-flavored ingredient, possibly a cocktail or a mocktail. The person on the left is partially visible, with only the right side of their face and upper body shown. The person in the middle is the most prominent, with a full view of their face and upper body. They are wearing a light-colored top and have long, wavy hair. The person on the right is also partially visible, with only the left side of their face and upper body shown. They are wearing a dark top and have long, straight hair. All three individuals are smiling and appear to be enjoying their time together. The background is blurred, but it suggests an indoor setting with warm lighting, possibly a bar or a restaurant. There are no visible texts or distinctive brands in the image."
