image number,alt,article_heading,article_url,description
image_1_1.jpg,A freediver ascends alongside a rope surrounded by six safety divers,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath,"The image depicts a group of scuba divers underwater. The divers are wearing full scuba gear, including wetsuits, flippers, and masks. They are positioned in a way that suggests they are either preparing to ascend or have just descended from the surface. The water around them is a deep blue, indicating a significant depth. The divers are spread out across the image, with some closer to the camera and others further away, creating a sense of depth. The image is taken from a perspective that looks up towards the divers, giving a sense of being underwater and looking up towards the surface. There are no visible texts or distinguishing marks that provide additional context or information about the location or the divers themselves. The image is a photograph and has a realistic style, capturing the underwater environment with clarity and detail."
image_1_2.jpg,A white man in a wetsuit standing in the sea adjusting his goggles,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath,"The image depicts a man in a wetsuit, waist-deep in a body of water, possibly the ocean. He is wearing a black wetsuit with a white logo on the left chest area. The man appears to be preparing for a water activity, as he is adjusting his goggles with both hands. The water around him is calm, and the sky above is a gradient of colors, suggesting either sunrise or sunset. The lighting is soft and diffused, indicating either early morning or late afternoon. The man's expression is focused, and he seems to be looking towards the horizon."
image_1_3.jpg,A young white woman wearing a wetsuit and carrying fins walks through a doorway,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath,"The image depicts a woman standing in a room with a wooden floor and a wooden wall in the background. She is wearing a white t-shirt with various logos and text on it, including the word ""CMA"" and a logo that resembles a cat. The t-shirt also has a black collar and a black strap hanging down the front. She is holding a black object in her hands, which appears to be a piece of equipment, possibly related to water sports given the context. The woman has blonde hair and is smiling, looking slightly to the side. The lighting in the room is warm, and the overall atmosphere is casual and relaxed."
image_1_4.jpg,Several people in wetsuits under T-shirts at the water’s edge push floats out to sea,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath,"The image depicts a group of people in the water, engaged in various activities. There are individuals wearing life jackets, suggesting they are in a water environment where safety is a concern. Some people are standing, while others are sitting or kneeling. They appear to be wearing casual clothing suitable for water activities.  In the foreground, there are several inflatable boats, some of which are being used by the people. The boats are orange and yellow, and they seem to be designed for recreational use. There is also a surfboard visible, indicating that some water sports are being practiced.  The water is calm, and the sky is clear, suggesting a sunny day. The overall scene suggests a leisurely day spent in the water, possibly at a beach or a lake. The people seem to be enjoying their time, and the environment is safe and suitable for their activities."
image_1_5.jpg,A dozen or so divers on the surface and fish near a rock face are seen from about 30 metres below the surface as a diver pulls themselves down a rope,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath,"The image depicts a group of scuba divers underwater, engaged in what appears to be a training exercise or a dive. The divers are wearing full scuba gear, including wetsuits, flippers, and air tanks. They are scattered throughout the water column, with some closer to the surface and others deeper. The water is a deep blue, and the sunlight filters through the water column, creating a dramatic effect with the light and dark areas. The divers are in various positions, some are floating, while others seem to be moving or performing tasks. The image is taken from an angle that gives a sense of depth and perspective, with the divers appearing smaller as they recede into the distance."
image_1_6.jpg,A freediver in a burgundy wetsuit swims to the surface while holding on to a rope as two other divers accompany her and two photographers take pics,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath,"The image depicts a group of scuba divers underwater. There are five divers in total, each wearing scuba gear, including wetsuits, flippers, and air tanks. They are all tethered to a central point by ropes, suggesting they are part of a group dive or a training exercise. The divers appear to be in a controlled environment, possibly a diving school or a recreational diving facility, given the structured arrangement and the presence of a safety diver. The water around them is a deep blue, indicating a significant depth, and the visibility is clear, allowing for a good view of the divers and their equipment. The divers are spread out, with some closer to the camera and others further away, creating a sense of depth in the image."
image_1_7.jpg,Divers gather around a life ring on the surface of the water,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath,"The image depicts a group of scuba divers in the ocean. They are wearing full scuba gear, including black wetsuits, helmets, and flippers. The divers are clustered together, with some appearing to be assisting or interacting with each other. They are floating on the water's surface, and there is a sense of activity and teamwork among them.  In the background, there is a rocky coastline with mountains visible in the distance under a clear blue sky. The water is a deep blue, indicating that it is likely a deep dive location. The divers are positioned in the foreground, with the natural landscape serving as a backdrop. The image captures a moment of adventure and exploration, as these divers engage in the sport of scuba diving."
image_1_8.jpg,An unconscious diver in a black wetsuit is supported vertically in the water by two safety divers in white shirts next to a safety rope,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath,"The image depicts a scuba diving scene with three divers underwater. The central figure is a diver wearing a black wetsuit, holding onto a scuba diving tank. This diver appears to be assisting another diver who is wearing a white wetsuit and has their legs wrapped around the tank, possibly indicating a moment of distress or a need for assistance. The third diver, partially visible in the background, is wearing a black wetsuit and appears to be observing the situation. The water around them is a deep blue, and the underwater environment suggests they are at a significant depth, likely in a coral reef or a similar diving location. The image captures a moment of human interaction and teamwork in a challenging environment."
image_2_1.jpg,A salmon with yellow and orange markings swims towards the camera with its mouth open.,‘Like doomsday’: why have salmon deserted Norway’s rivers – and will they ever return?,https://www.theguardian.com/environment/article/2024/aug/29/like-doomsday-why-have-salmon-deserted-norway-rivers-and-will-they-ever-return,"The image depicts a large salmon fish swimming in a body of water. The fish is facing the camera, and its mouth is open as if it is either swimming or possibly about to take a bite. The salmon has a distinctive pattern of spots on its body, which are characteristic of the species. The water around the fish appears to be murky, suggesting that it might be in a river or a lake with a lot of sediment or algae. The salmon's fins are visible, and its scales are clearly visible, with a mix of colors ranging from orange to brown. The image is a close-up, providing a detailed view of the fish's features."
image_2_2.jpg,A river flows through a pine forest with a mountainside and low cloud in the background.,‘Like doomsday’: why have salmon deserted Norway’s rivers – and will they ever return?,https://www.theguardian.com/environment/article/2024/aug/29/like-doomsday-why-have-salmon-deserted-norway-rivers-and-will-they-ever-return,"The image depicts a serene natural landscape. In the foreground, there is a rocky shore with a variety of stones and pebbles, some of which are wet, suggesting the presence of a body of water nearby. The rocks are predominantly gray and brown, with some black and white stones interspersed.  Beyond the rocky shore, there is a calm river or stream that meanders through the landscape. The water appears to be shallow and clear, reflecting the light and the surrounding environment.  In the background, there is a dense forest of coniferous trees, which are lush and green. The trees are tall and appear to be well-established, with a mix of evergreen and deciduous species. The forest extends to the horizon, where it meets a range of mountains that rise in the distance. The mountains are covered with a layer of mist or low clouds, giving them a mystical appearance.  The sky is overcast, with a uniform gray color that suggests an overcast or cloudy day. There are no visible texts or distinctive human-made structures in the image. The overall impression is one of tranquility and natural beauty, with a focus on the interplay between the elements of water, rocks, forest, and mountains."
