website,category,article_number,image number,alt,article_heading,article_url
https://www.theguardian.com,food,1,1,"Mother and son, tourists, cyclists on a gravel road passing beautiful wineyard above vipava valley on a beautiful spring sunny day, Slovenia2FNJ0RP Mother and son, tourists, cyclists on a gravel road passing beautiful wineyard above vipava valley on a beautiful spring sunny day, Slovenia",Stars in the east: the shining lights of eastern European wine,https://www.theguardian.com/food/article/2024/sep/06/stars-in-the-east-the-shining-lights-of-eastern-european-wine#comments
https://www.theguardian.com,food,2,1,A bowl of Italian saffron risotto.,I didn’t eat proper risotto till I was nearly 30. And now drought may take it off menus for ever,https://www.theguardian.com/food/2024/mar/16/i-didnt-eat-proper-risotto-till-i-was-nearly-30-and-now-drought-may-take-it-off-menus-for-ever
https://www.theguardian.com,food,3,1,Nipperkin at Nijū’s Menta,"The Menta, by Nipperkin at Nijū – recipe",https://www.theguardian.com/food/article/2024/aug/30/cocktail-of-the-week-the-menta-by-nipperkin-at-niju-recipe
https://www.theguardian.com,food,4,1,As moreish as Marmite: Meera Sodha's miso mushrooms on toast.,Top that! What are the best things to put on toast?,https://www.theguardian.com/food/article/2024/sep/10/kitchen-aide-what-are-the-best-things-to-put-on-toast
https://www.theguardian.com,food,5,1,"Butternut squash cooked in olive oil. Dish of baked Butternut squashes ready to eat. Dish of freshly roasted butternut squashes cooked until they are soft, with thyme, bay leaves and olive oil.",Ask Ottolenghi: should you cook with extra-virgin olive oil?,https://www.theguardian.com/food/article/2024/sep/07/ask-ottolenghi-should-you-cook-with-extra-virgin-olive-oil#comments
https://www.theguardian.com,food,6,1,Ernest and Whitney Lai in their restaurant,‘Here the people know each other’: why do so many regional Australian towns have a Chinese restaurant?,https://www.theguardian.com/food/article/2024/sep/10/here-the-people-know-each-other-why-do-so-many-regional-australian-towns-have-a-chinese-restaurant
https://www.theguardian.com,food,6,2,Lin Jie Kong and Jennifer Wong at Raymond’s at Malua Bay,‘Here the people know each other’: why do so many regional Australian towns have a Chinese restaurant?,https://www.theguardian.com/food/article/2024/sep/10/here-the-people-know-each-other-why-do-so-many-regional-australian-towns-have-a-chinese-restaurant
https://www.theguardian.com,food,6,3,"Multiple dishes laid out including deep-fried prawn cutlets, spring rolls, salt and pepper squid among others",‘Here the people know each other’: why do so many regional Australian towns have a Chinese restaurant?,https://www.theguardian.com/food/article/2024/sep/10/here-the-people-know-each-other-why-do-so-many-regional-australian-towns-have-a-chinese-restaurant
https://www.theguardian.com,food,6,4,Diners at the New Bo Wa,‘Here the people know each other’: why do so many regional Australian towns have a Chinese restaurant?,https://www.theguardian.com/food/article/2024/sep/10/here-the-people-know-each-other-why-do-so-many-regional-australian-towns-have-a-chinese-restaurant
https://www.theguardian.com,food,6,5,The family pose with two dragons outside the New Bo Wa,‘Here the people know each other’: why do so many regional Australian towns have a Chinese restaurant?,https://www.theguardian.com/food/article/2024/sep/10/here-the-people-know-each-other-why-do-so-many-regional-australian-towns-have-a-chinese-restaurant
