article_number,image number,alt,article_heading
1,1,,Two injured in knife attack in Wuppertal hospital
2,1,,"Wüst warns of ""complete escalation"" in the Middle East"
3,1,,One dead and three injured in accident on A44
4,1,,Hot air balloon hits power line and catches fire
5,1,,Cars collide in Bottrop - eight injured
6,1,,Child is born in an ambulance
7,1,,49-year-old dies after fight at Dortmund Central Station
8,1,,On Sunday in NRW initially sunny - then a low moves into the country
9,1,,Ten people and a dog rescued in fire in Düsseldorf
10,1,,Düsseldorfer EG signs former NHL player Paul Postma
