article_number,image number,alt,article_heading,article_url
1,1,The logo of the Olympic Games on display at the Eiffel Tower,After success in Paris Los Angeles looks to elevate Olympic Games in 2028,https://www.nbcnews.com/business/business-news/success-paris-los-angeles-looks-elevate-olympic-games-2028-rcna170654
2,1,Hunter Woodhall during the 4x100m Universal Relay on day nine of the Paris 2024 Summer Paralympic Games at Stade de France on September 06 2024.,Hunter Woodhall wins 400-meter at Paralympics weeks after wife claims gold in Olympics,https://www.nbcnews.com/news/sports/hunter-woodhall-wins-400-meter-paralympics-weeks-wife-claims-gold-olym-rcna169993
3,1,French DJ Barbara Butch (R) holds the paralympic flame flanked by French-Iranian writer Marjane Satrapi during the 20th edition of the Rock en Seine music festival in Saint-Cloud outside Paris on August 25 2024.,French DJ and LGBTQ icon carries Paralympic torch to defy hate she endured over Olympics ceremony,https://www.nbcnews.com/nbc-out/out-news/french-dj-lgbtq-icon-carries-paralympic-torch-defy-hate-endured-olympi-rcna168196
4,1,Noah Lyles,Gold medalist Noah Lyles says he'd race Tyreek Hill — but only on his own terms,https://www.nbcnews.com/sports/olympics/noah-lyles-race-tyreek-hill-rcna167457
4,2,Tyreek Hill,Gold medalist Noah Lyles says he'd race Tyreek Hill — but only on his own terms,https://www.nbcnews.com/sports/olympics/noah-lyles-race-tyreek-hill-rcna167457
5,1,Tyreek Hill who may be the fastest man in the NFL challenged Olympic gold medalist Noah Lyles to a race.,Olympic gold medalist Noah Lyles challenged to race by Dolphins receiver Tyreek Hill,https://www.nbcnews.com/sports/olympics/olympic-gold-medalist-noah-lyles-challenged-race-dolphins-receiver-tyr-rcna167351
6,1,jordan chiles gymnast competition olympics athlete,Jordan Chiles' stripped bronze is biggest gymnastics controversy since Sydney Olympics disaster,https://www.nbcnews.com/sports/olympics/jordan-chiles-stripped-bronze-gymnastics-biggest-controversy-2000-sydn-rcna166447
7,1,Para Track and Field athlete Nick Mayhugh,Paralympic sprinter Nick Mayhugh refused to let his dreams die,https://www.nbcnews.com/news/sports/paralympic-sprinter-nick-mayhugh-refused-let-dreams-die-rcna166596
7,2,United States' Nick Mayhugh,Paralympic sprinter Nick Mayhugh refused to let his dreams die,https://www.nbcnews.com/news/sports/paralympic-sprinter-nick-mayhugh-refused-let-dreams-die-rcna166596
8,1,Imane Khelif,J.K. Rowling and Elon Musk named in cyberbullying suit filed by Olympic boxer Imane Khelif,https://www.nbcnews.com/nbc-out/out-news/jk-rowling-elon-musk-cyberbullying-lawsuit-boxer-imane-khelif-rcna166537
8,2,Elon Musk and J.K. Rowling.,J.K. Rowling and Elon Musk named in cyberbullying suit filed by Olympic boxer Imane Khelif,https://www.nbcnews.com/nbc-out/out-news/jk-rowling-elon-musk-cyberbullying-lawsuit-boxer-imane-khelif-rcna166537
9,1,Valentina Petrillo of Italy poses after competing in 100m T12 during the Italian Paralympic Athletics at Stadio Armando Picchi in Jesolo Italy.,Italian sprinter to be first transgender athlete at Paralympic Games,https://www.nbcnews.com/nbc-out/out-news/italian-sprinter-transgender-paralympic-games-valentina-petrillo-rcna166362
10,1,Los Angeles will host the 2028 Summer Olympic Games.,Olympic flag arrives in Los Angeles host city for 2028 Games,https://www.nbcnews.com/news/us-news/olympic-flag-arrives-los-angeles-host-city-2028-games-rcna166343
