image number,alt,article_heading,description
image_1_1.jpg,Vadel Badjideh akui putusi Lolly,Absent Examination Vadel Badjideh will be written again on 4th October,"The image shows a young man with a friendly expression. He has long, braided hair that is styled in a way that suggests it might be a part of his cultural or personal style. The man is wearing a dark-colored shirt with a collar and buttons, which could be a polo shirt or a similar casual garment. The background is simple and nondescript, with a hint of a structure that might be part of a building or a wall. The lighting in the photo is even, suggesting it was taken in a well-lit area. The man's pose and the way he is looking directly at the camera give the image a direct and engaging quality."
image_2_1.jpg,Polres Metro Jakarta Center will launch an investigation into the management of anime companies that allegedly abuse and exploit their employees.,Korban Enterprises' policy of 'painting' shows evidence of animation what is it?,"The image depicts a group of seven individuals standing on a sidewalk in front of a residential building. The building has a prominent sign that reads ""GRANDVILLAGE"" in large, stylized letters. The group appears to be casually dressed, with a mix of short-sleeved shirts and long-sleeved shirts, and some are wearing hats. They are standing in a line, facing the camera, and seem to be posing for the photograph.  Behind the group, there are two motorcycles parked on the street. The motorcycles are sleek and modern, with one being a black and white color scheme and the other in a darker shade. The street is lined with a metal fence that has an intricate design, and there are palm trees visible in the background, suggesting a warm climate.  The sky is clear, indicating fair weather, and the overall atmosphere of the image is casual and relaxed. The style of the image is a standard, everyday photograph with no apparent filters or artistic effects."
image_3_1.jpg,One student of SMK Dibakok another student till he fell on the motorcycle of Jakbar. Two other students involved in the ban were arrested by the police. (M Fardan/detikcom),Sick Hearts Didekati Women of Bogor Bakok Bankai,"The image shows a single, curved wooden object with a dark brown finish, resting on a purple fabric surface. The object appears to be a traditional wooden tool or instrument, possibly used for a specific task or in a particular cultural context. It has a handle wrapped in a black material, which could be leather or a similar durable fabric, providing a comfortable grip. The object is tied to the fabric surface with a white string or twine, suggesting it might be displayed or stored in this manner. In the background, there is a yellow border or edge, which could be part of a table or a display case. The image is a photograph with a focus on the object, and there are no texts visible in the image. The style of the image is straightforward and documentary, aiming to show the object clearly without any additional embellishment."
image_4_1.jpg,Sony Latuheru,Sosok Audie Latuheru Polisi Penerjun and Pilot yang Kini Jadi Brigjen,"The image depicts a person seated inside a small aircraft, likely a helicopter or a light aircraft, given the visible controls and the open cockpit design. The individual is wearing a blue flight suit with various insignias and badges, suggesting they are a pilot or a member of an aviation organization. The suit includes a cap with a visor, and the person is wearing headphones, indicating they are engaged in communication or listening to audio, possibly related to the aircraft's systems or air traffic control.  The interior of the aircraft is equipped with standard controls and instruments, including a steering wheel, a throttle, and various gauges and switches. The aircraft appears to be in flight, as suggested by the blurred landscape visible through the windows, which shows a mix of greenery and structures, possibly indicating a rural or semi-rural area.  The lighting inside the aircraft is bright, and the person's face is illuminated, highlighting their focus and the seriousness of their demeanor. The image captures a moment of concentration and professionalism, typical of pilots during flight operations."
image_4_2.jpg,Sony Latuheru,Sosok Audie Latuheru Polisi Penerjun and Pilot yang Kini Jadi Brigjen,"The image depicts a man seated in the pilot's seat of a small, single-engine helicopter. The man appears to be middle-aged, wearing a dark cap, a blue shirt, and a harness with a blue chest strap. He is wearing headphones and has a headset with a microphone in front of him, suggesting he is actively piloting the aircraft. The interior of the helicopter is visible, showing the instrument panel with various gauges and indicators, and the control yoke in front of him. The exterior of the helicopter is not fully visible, but it appears to be a clear day with a blue sky and some clouds. The landscape below is not clearly visible, but the presence of a harness and the man's focused expression suggest that he is engaged in the act of flying."
image_5_1.jpg,On the other hand a signal is shown that helps the driver who is carrying a sick passenger. The driver can continue his journey until he removes the oil. (dok IG @tmcpoldametro),Hello! The police and citizens should help those who are sick when they get sick.,"The image depicts a scene on a street where a group of people are gathered around a motorcycle. The motorcycle is parked and has a design that suggests it is a scooter, characterized by its step-through frame and smaller wheels. The scooter is predominantly black with red and white accents.  In the center of the image, there is a person wearing a green shirt and jeans, who appears to be the focus of the attention. This individual is being assisted by two men, one of whom is wearing a light-colored shirt and the other is wearing a dark shirt. The man in the light-colored shirt is holding the person in the green shirt from behind, while the man in the dark shirt is holding the person from the front. The person in the green shirt seems to be in a vulnerable position, possibly injured or in need of assistance.  In the background, there are other individuals who are observing the scene. Some are standing, while others are seated on motorcycles. The motorcycles vary in design, with one being a larger motorcycle and another being a smaller scooter. The setting appears to be an urban environment with a paved road and a fence visible in the background. The overall atmosphere suggests a moment of concern or urgency, as the people are focused on the person in the green shirt."
image_6_1.jpg,Human skeleton found in Bogor mountains,Find out more about the human skeleton in Bogor Mountain,"The image depicts a natural scene with a focus on a large, brown, leafy plant that appears to be a fern. The fern is situated in the center of the image, with its fronds spread out, showcasing its intricate structure. The plant is surrounded by a dense thicket of branches and foliage, which suggests a forest or woodland environment. The background is blurred, emphasizing the fern in the foreground. The colors are predominantly green and brown, with the fern's fronds in various shades of green and the surrounding vegetation in browns and grays. The image has a pixelated effect, giving it a digital or filtered appearance."
image_7_1.jpg,RS Polli has identified 2 of the 7 remains found in Tewas of Kali Bekasi. Jenazah of the deceased was handed over directly to the family. (Wild N/detikcom),Sepung Diserahkan ke Family Ini Identitas 7 Janazah di Kali Bekasi,"The image depicts a group of people gathered around a large, rectangular object that appears to be a metal box or container. The object is labeled with text that reads ""AHMAD DAVI"" and ""0048 IX 2024 ML,"" which suggests it might be a piece of equipment or a product with a specific model or identification number. The people in the image are dressed in a variety of casual and semi-formal attire, indicating a diverse group of individuals. Some are wearing masks, suggesting that the image may have been taken during a time when health precautions were in place, such as during a pandemic. The setting appears to be an indoor space, possibly a workshop or a factory, given the presence of the metal box and the industrial nature of the environment. The people seem to be engaged in a discussion or inspection of the object, with some reaching out to touch or examine it. The image captures a moment of interaction and curiosity among the group."
image_7_2.jpg,RS Polri handed over 5 gifts of Kali Bekasi to the family.,Sepung Diserahkan ke Family Ini Identitas 7 Janazah di Kali Bekasi,"The image depicts a scene inside a building, possibly a police station or a similar official establishment, given the presence of a police officer in the foreground. The officer is wearing a uniform with the word ""DOKPOL"" printed on the back, which suggests that this could be a specific unit or department within the police force. The officer is holding a walkie-talkie, indicating that communication is an essential part of their duties.  In the background, there is a group of people, some of whom appear to be police officers, while others could be civilians. The individuals are dressed in a variety of casual and uniform attire, suggesting a diverse group of people. Some of them are wearing headscarves, indicating a multicultural environment.  The setting includes a red wall with a sign that reads ""RUMAH DUKA,"" which could be the name of the establishment or a specific area within the building. The lighting is artificial, and the overall atmosphere suggests an indoor environment with a formal or official purpose.  The image captures a moment that seems to be part of a routine or an event within the police station, with the focus on the officer in the foreground and the group of people in the background. The image does not provide any specific details about the time of day, the location, or the exact nature of the event or routine being depicted."
image_8_1.jpg,Dirbinmas Polda Metro Jaya Kombes Hariri Muharram Firmansyah giving socialization dangerous storm in Kalideres Jakarta West.,Marak Tavuran Polda Metro Minta Ortu Awasi Ketat Anak-anak,"The image depicts a group of individuals seated at a long table, which is covered with a beige tablecloth. The table is adorned with various items, including bottles of water, plates of food, and a microphone. The people are dressed in a mix of casual and formal attire, with some wearing ties and others in more casual clothing.  Behind the table, there is a large banner with text in a language that appears to be Indonesian. The text on the banner reads ""NGOPI KAMTIBMAS DI POS SATKAMLING POLSEK KALIDERS POLSES METRO JAKARTA BARAT."" This suggests that the event is related to a non-governmental organization (NGO) and possibly a discussion or meeting about a topic related to the text on the banner.  The setting appears to be indoors, possibly in a conference room or a similar venue, given the presence of the table, the microphone, and the banner. The atmosphere seems to be formal or semi-formal, as indicated by the attire of the individuals and the setup of the table."
