image number,alt,article_heading,description
image_1_1.jpg,Vadel Badjideh akui putusi Lolly,Absent Examination Vadel Badjideh will be written again on 4th October,"The image shows a young man with a friendly expression. He has long, braided hair that is styled in a way that suggests it might be a part of his cultural or personal style. The man is wearing a dark-colored shirt with a collar and buttons, which could be a polo shirt or a similar casual garment. The background is simple and nondescript, with a hint of a structure that might be part of a building or a wall. The lighting in the photo is even, suggesting it was taken in a well-lit area. The man's pose and the way he is looking directly at the camera give the image a direct and engaging quality."
image_2_1.jpg,Gedung Mahkamah Konstitusti (MK)-(Angi Muliawati/detikcom),MK of Gugat Warga Minta Kotak Kosong of all elections even if there is only one candidate,"The image depicts a grand building with classical architectural features, prominently displaying the name ""MAHKAMAH KONSTITUSI"" in bold, capitalized letters on the facade. The building is characterized by a series of tall, white columns that support a pedimented roof. Above the columns, there is a large, domed structure that adds to the building's grandeur. The building is situated in an urban environment, with other high-rise buildings visible in the background. The sky is overcast, suggesting an overcast day. The entrance to the building is visible, with a set of stairs leading up to it. The overall style of the image is a standard, color photograph with no filters or artistic effects applied."
image_3_1.jpg,Gedung Mahkamah Konstitusti (MK)-(Angi Muliawati/detikcom),Gugatan Kader PD di MK Kandas Walkot di Jakarta continues to be appointed Governor,"The image depicts a modern building with a classical architectural influence. The facade features a prominent central section with a large, curved glass canopy that adds a contemporary touch to the structure. Above the canopy, the text ""MAHKAMAH KONSTITUSI"" is prominently displayed in bold, black capital letters, indicating that this is the Constitutional Court of Indonesia. The building is situated in an urban environment, with other high-rise buildings visible in the background. The entrance to the building is marked by a set of stairs leading up to a black door, which is flanked by two large columns. The overall design of the building suggests a blend of traditional and modern architectural styles, with a focus on grandeur and prominence."
image_4_1.jpg,Jubir KPK Tessa Mahardhika Sugiarto (Yogi-detikcom),KPK Check PNS Body Quarantine Fill in the Penbelian Asset for SYL,"The image depicts a man standing in the center, surrounded by several individuals who appear to be reporters. The man in the center is wearing glasses and a dark suit, suggesting a formal or professional appearance. He is looking slightly to his left with a serious expression on his face.  The reporters are holding up their cell phones, likely using them to record the man's statements or to take notes. The cell phones are clearly visible, with their screens facing the man, indicating that they are being used to capture audio or video.  The setting appears to be an indoor location with a glass wall in the background, which could be a press conference room or a similar venue. The lighting is bright, and the atmosphere seems to be one of a formal event or press engagement.  The image captures a moment of interaction between the man and the reporters, with the focus on the man and the expressions of the reporters, who seem engaged and attentive to what he is saying."
image_5_1.jpg,Dirdik KPK Asep Guntur Rahayu (right) and Jubir KPK Tessa Mahardhika (right) as they meet the press of KPK building.,KPK Sita Dokument Related to Izin Tambang from the House of Former Governor Kaltim,"The image depicts a formal setting with two men seated at a long, rectangular table. The man on the left is wearing a white shirt and glasses, and he appears to be speaking into a microphone. The man on the right is wearing a dark suit and is holding a glass of water. Both men are seated on chairs with armrests, and there are papers and a microphone on the table in front of them.  Behind them, there is a wall with a large emblem featuring a shield with a lion and a star, and the letters ""KPK"" are visible. The wall also has horizontal stripes in white and gray. The overall impression is of a professional or governmental meeting or press conference."
image_6_1.jpg,Former Director of Finance PT Timah Tbk Emil Ermindra became a witness in the case of corruption management team. (Mulia/detikcom),Tetian Wahyudi Sampat Kirim WA ke Eks Dirut PT Timah Apa Isinya?,"The image depicts an indoor setting that appears to be a courtroom or a formal meeting room. The room is furnished with multiple chairs arranged in rows, some of which are occupied by individuals who seem to be engaged in a discussion or a meeting. The individuals are dressed in business attire, suggesting a professional or legal context.  At the front of the room, there is a long table with microphones, indicating that this might be a place where speeches or testimonies are given. Behind the table, there is a group of individuals seated on high-backed chairs, facing the audience. These individuals are likely the speakers or the ones being addressed.  The room has a formal and structured appearance, with a large emblem or crest on the wall behind the speakers, which could be a symbol of the organization or institution hosting the event. The walls are paneled, and there are windows with curtains, allowing natural light to enter the room.  The image is taken from an angle that captures the back of the audience and the front of the room, providing a perspective that shows the interaction between the speakers and the audience. The lighting is even, suggesting that the room is well-lit for the purpose of the event.  Overall, the image conveys a sense of formality and seriousness, typical of legal proceedings or official meetings."
image_7_1.jpg,Juru Bikar KPK Tessa Mahardhika saat meeta pers di KPK,KPK Cegah Ex-Governor Kaltim's External Affairs Related Case Is Tambang,"The image depicts a man seated at a desk, appearing to be in a professional setting. He is wearing a dark suit with a white shirt and glasses. The man is holding a pink folder and seems to be engaged in reading or reviewing some documents. On the desk, there is a microphone, suggesting that he might be addressing an audience or participating in a meeting. The background shows a wall with horizontal blinds, and there is a window with blinds partially open, allowing natural light to enter the room. The overall setting suggests an office environment."
image_8_1.jpg,Head of Department of Law and Legal Rabithah Alawiyah Ahmad Ramzy Baabud. (Dok Rabithah Alawiyah),Rabithah Alawiyah Bersyukur Pemalsu Sertificat Habib Divonis 15 Tahun Bui,"The image shows two men standing side by side, both wearing traditional Islamic attire. The man on the left is wearing a white shirt with a collar and a white headscarf, known as a turban. The man on the right is wearing a yellow shirt with a collar and a white headscarf. Both men are smiling and appear to be in a room with a clock on the wall in the background. There are other individuals visible in the background, but they are not the focus of the image. The setting suggests a casual, indoor environment, possibly a home or a community center."
image_9_1.jpg,Juru Bikar KPK Tessa Mahardhika saat meeta pers di KPK,KPK Tepatkan 3 Tersangka Related To Rented House Former Governor Kaltim,"The image depicts a man seated at a desk, appearing to be in a professional setting. He is wearing a dark suit with a white shirt and glasses. The man is holding a tablet and seems to be engaged in reading or writing. On the desk, there is a glass of water and a microphone, suggesting that he might be in a meeting or presentation. The background shows a wall with horizontal blinds, and there is a door with a handle visible to the right. The lighting in the room is bright, and the overall atmosphere is formal and serious."
image_10_1.jpg,Two former directors of PT Timah Tbk said they were involved in the corruption case of management team that cost the country financial Rp 300 trillion. The two former Directors of PT Timah are Mochtar Riza Pahlevi Tabrani as Director General of PT Timah Tbk for the period 2016-2021 and Emil Ermindra as Director of Finance PT Timah Tbk for the period 2016-2020.,Hakim Sidang Harvey's first direct PT Timah: Aneh-aneh Karjaanmu,"The image depicts an indoor scene with a man in the foreground and several other individuals in the background. The man in the foreground appears to be middle-aged, with dark hair and a serious expression. He is wearing a pink vest over a blue shirt with a patterned design. The vest has a black stripe running down the center and features a floral pattern on the left side. The man's face is partially obscured by the vest, and he is looking slightly to the side.  In the background, there are blurred figures of people, suggesting a group setting. The lighting in the room is soft, and the overall atmosphere seems to be one of a formal or semi-formal gathering. The image has a watermark in the bottom right corner that reads ""detikcom,"" indicating the source or the photographer's watermark. The style of the image is a candid photograph, capturing a moment in a social setting without posing for the camera."
