article_number,image number,alt,article_heading
1,1,Regional Secretary of West Java (Sekda Jabar) Herman Suryatman,Sekda Jabar Harap Training Kepempinan Administrator Print ASN Leader
1,2,Regional Secretary of West Java (Sekda Jabar) Herman Suryatman,Sekda Jabar Harap Training Kepempinan Administrator Print ASN Leader
2,1,Union of Soviet Socialist Republics (USSR) KPK,NasDem Hormati KPK Geledah Rumah Awang Faroek
3,1,Kasie Humas Pollres Metro Jakarta Selatan AKP Nurma Dewi (Kurniawan F/detikcom),Vadel Ngaku absent from examination due to poor health wait for police in case of illness
4,1,MenPAN-RB Azwar Anas (Adrial/detikcom),MenPAN-RB Azwar Anas Di Gedung KPK Will Sign MoU
5,1,Vadel Badjideh akui putusi Lolly,Absent Examination Vadel Badjideh will be written again on 4th October
6,1,While evacuating one of the victims from Tertimbun Longsor mine location Solok Sumbar. (Doc. BPBD Solok),Korban Tewas Longsor Tambang di Solok increased to 15 people
7,1,Hadiri Workshop BPKP Bey Machmudin Ingatkan soal Tata Kelola Fatamorgana,Hadiri Workshop BPKP Bey ingaitkan soal Tata Kelola 'Fatamorgana'
8,1,Polres Metro Jakarta Center will launch an investigation into the management of anime companies that allegedly abuse and exploit their employees.,Korban Enterprises' policy of 'painting' shows evidence of animation what is it?
9,1,KSAD buka lomba pencak silat Piala KSAD (Rizky Adha Mahendra/detikcom),KSAD Open Long Pencak Silat Cup KSAD di Pakansari Bogor
10,1,One student of SMK Dibakok another student till he fell on the motorcycle of Jakbar. Two other students involved in the ban were arrested by the police. (M Fardan/detikcom),Sick Hearts Didekati Women of Bogor Bakok Bankai
