article_number,image number,alt,article_heading
1,1,no alt text,EU plan to press ahead with China EV tariffs bad for ties and green ambitions -Xinhua
2,1,no alt text,Here’s how to delete your data from 23andMe if you’re worried about protecting your personal health information
3,1,no alt text,Broadcom Inc. (AVGO) Named a Core Stock by Wells Fargo for Long-Term Growth Potential in IT Sector
4,1,no alt text,A $803 billion company most people have never heard of just knocked Tesla out of the Magnificent 7
5,1,no alt text,China home sales rise after stimulus measures state media says
6,1,no alt text,K-Electric launches 'star reward' discount programme for loyal customers
7,1,no alt text,Taiwan Makes the Majority of the World’s Computer Chips. Now It’s Running Out of Electricity
8,1,no alt text,IV fluid supplies in US disrupted by Hurricane Helene
9,1,no alt text,Global chipmaking hit as Hurricane Helene disrupts quartz mining
10,1,no alt text,Israel-Iran war: Gold price retraces from record high on US dollar rebound. Should you buy? | Stock Market News
