article_number,image number,alt,article_heading
1,1,no alt text,Donald Glover cancels Childish Gambino tour dates because of ‘ailment’
2,1,no alt text,‘I’m fine with people bashing us’: inside the controversial Trump biopic
3,1,no alt text,Ben Affleck is ‘messing with JLo’s head'; pals worry he has become a ‘love addict’ and is ‘falling into a toxic pattern’
4,1,no alt text,Akala: rapper author public intellectual – and friend of Angelina Jolie?
5,1,no alt text,In ‘The Killing Roads’ filmmaker Igal Hecht confronts the visceral pain of Oct. 7
6,1,no alt text,Jax Taylor rekindles friendship with Tom Sandoval amid Brittany Cartwright divorce
7,1,no alt text,‘Everything ain’t for everybody’ Diddy warns Justin Bieber on Jimmy Kimmel’s show
8,1,no alt text,Disclaimer: Cate Blanchett’s new show is either beautiful … or a schlocky nightmare
9,1,no alt text,As Prince William's role in royal family grows is Harry's chance for reconciliation slipping away?
10,1,no alt text,TV tonight: a lovely night celebrating the brilliant Kirsty MacColl
