website,category,article_number,image number,alt,article_heading,article_url
https://news.yahoo.co.jp/,Science,1,1,,"The interaction galaxy ""ARP 107"" observed by the clashed galaxy and the elliptical galaxy Webb space telescope",https://news.yahoo.co.jp/articles/49d2b3706b67e21782b57b39cf8fdace70013399
https://news.yahoo.co.jp/,Science,2,1,,"The launch of the H3 rocket Unit 4 on October 26, was initially equipped with a defense and telecommunications satellite on the 20th.",https://news.yahoo.co.jp/articles/4e32eba8e7e61e122e5ad8a260fcc5f78de124e7
https://news.yahoo.co.jp/,Science,3,1,,Corona vaccine has 5 types of vaccines for regular vaccinations for the elderly since October,https://news.yahoo.co.jp/articles/24582efa7090c4fa74f92111533d7629e70dec36
https://news.yahoo.co.jp/,Science,4,1,,"The high school girl's team makes his own elementary particle experiment detector in Switzerland, realizes the best contest",https://news.yahoo.co.jp/articles/efb01bd41bec9a715bea9f6d2e7f3f9aa98925a5
https://news.yahoo.co.jp/,Science,5,1,,"The launch of H3 Rocket Unit 4, equipped with a defense and telecommunications satellite on October 26",https://news.yahoo.co.jp/articles/47b466e088e57570c9063236858571d2467dbdc8
https://news.yahoo.co.jp/,Science,6,1,,"Alma telescope observed the foaming surface of the giant red giant ""Kajikiza R Hoshi""",https://news.yahoo.co.jp/articles/e6df63b8da0f842f9920aa6e632c36ced8a926c7
https://news.yahoo.co.jp/,Science,7,1,,"A proposal is announced to prevent the asteroid's collision on the earth with a nuclear bomb, but what does it mean?",https://news.yahoo.co.jp/articles/bdfc08121726b936badf488257801c84e841a6a0
https://news.yahoo.co.jp/,Science,8,1,,"The spiral galaxy IC 1954"" in which the Hubble Space Telescope was photographed “and Keisces ”""",https://news.yahoo.co.jp/articles/97bdec0bd7799e9ed808abac61b8908b68b6828a
https://news.yahoo.co.jp/,Science,9,1,,"Record heavy rains in the Noto region that hit the earthquake, and high sea surface temperature offshore is prepared for ""complex disasters"" because of extreme rainfall.",https://news.yahoo.co.jp/articles/96f6efc9fcf67d6a258a0444e1109cbfb3579373
https://news.yahoo.co.jp/,Science,10,1,,"Providing a free napkin for physiology, Seibu Railway in a private room toilets at Ikebukuro Station",https://news.yahoo.co.jp/articles/9fdcbfebfb41dad92dc86435b7e846adec4c083c
