website,category,article_number,image number,alt,article_heading,article_url
https://news.yahoo.com/,Climate,1,1,A digital thermometer reads 123 degrees.,"When will the heat wave end? With millions of Americans under heat warnings and advisories, here's what to expect.",https://news.yahoo.com/news/when-will-the-heat-wave-end-with-millions-of-americans-under-heat-warnings-and-advisories-heres-what-to-expect-183559106.html
https://news.yahoo.com/,Climate,1,2,People under a misting tent.,"When will the heat wave end? With millions of Americans under heat warnings and advisories, here's what to expect.",https://news.yahoo.com/news/when-will-the-heat-wave-end-with-millions-of-americans-under-heat-warnings-and-advisories-heres-what-to-expect-183559106.html
https://news.yahoo.com/,Climate,1,3,A boy wearing blue floaties cools off in a community swimming pool.,"When will the heat wave end? With millions of Americans under heat warnings and advisories, here's what to expect.",https://news.yahoo.com/news/when-will-the-heat-wave-end-with-millions-of-americans-under-heat-warnings-and-advisories-heres-what-to-expect-183559106.html
https://news.yahoo.com/,Climate,1,4,People stand under colorful umbrellas before a Las Vegas sign.,"When will the heat wave end? With millions of Americans under heat warnings and advisories, here's what to expect.",https://news.yahoo.com/news/when-will-the-heat-wave-end-with-millions-of-americans-under-heat-warnings-and-advisories-heres-what-to-expect-183559106.html
https://news.yahoo.com/,Climate,2,1,Utility poles damaged by Hurricane Beryl await repairs in Houston on Wednesday. ,Hurricane Beryl: More than 1.3 million Texans still without power as 'dangerous heat' warning issued in storm's aftermath,https://news.yahoo.com/news/hurricane-beryl-more-than-13-million-texans-still-without-power-as-dangerous-heat-warning-issued-in-storms-aftermath-155516749.html
https://news.yahoo.com/,Climate,2,2,More than 1.3 million customers were still without power in Texas on Thursday morning. (PowerOutage.Us),Hurricane Beryl: More than 1.3 million Texans still without power as 'dangerous heat' warning issued in storm's aftermath,https://news.yahoo.com/news/hurricane-beryl-more-than-13-million-texans-still-without-power-as-dangerous-heat-warning-issued-in-storms-aftermath-155516749.html
https://news.yahoo.com/,Climate,2,3,CenterPoint Energy utility trucks are parked at a race track in Houston on Wednesday.,Hurricane Beryl: More than 1.3 million Texans still without power as 'dangerous heat' warning issued in storm's aftermath,https://news.yahoo.com/news/hurricane-beryl-more-than-13-million-texans-still-without-power-as-dangerous-heat-warning-issued-in-storms-aftermath-155516749.html
https://news.yahoo.com/,Climate,2,4,"A police officer examines downed power lines in Galveston, Texas.",Hurricane Beryl: More than 1.3 million Texans still without power as 'dangerous heat' warning issued in storm's aftermath,https://news.yahoo.com/news/hurricane-beryl-more-than-13-million-texans-still-without-power-as-dangerous-heat-warning-issued-in-storms-aftermath-155516749.html
https://news.yahoo.com/,Climate,3,1,The skyline of downtown Los Angeles obscured by hazy skies following a wildfire north of the city on a moderate air quality day on June 20. (Patrick T. Fallon/AFP via Getty Images),Why air quality is worse when it's really hot,https://news.yahoo.com/news/why-air-quality-is-worse-when-its-really-hot-214118195.html
https://news.yahoo.com/,Climate,4,1,"A person wipes sweat from their brow at Badwater Basin in Death Valley National Park on Sunday, behind a read sign reading ",Deadly heat wave shatters temperature records in the West: Who is it affecting and when will it break?,https://news.yahoo.com/news/deadly-heat-wave-shatters-temperature-records-in-the-west-who-is-it-affecting-and-when-will-it-break-185120540.html
https://news.yahoo.com/,Climate,4,2,A sign displays the temperature of 110°F and 43°C at 10 p.m. outside the Furnace Creek Visitors Center in Death Valley National Park.,Deadly heat wave shatters temperature records in the West: Who is it affecting and when will it break?,https://news.yahoo.com/news/deadly-heat-wave-shatters-temperature-records-in-the-west-who-is-it-affecting-and-when-will-it-break-185120540.html
https://news.yahoo.com/,Climate,4,3,A man holds his right hand to his forehead in 120-degree heat near the Las Vegas strip on Sunday.,Deadly heat wave shatters temperature records in the West: Who is it affecting and when will it break?,https://news.yahoo.com/news/deadly-heat-wave-shatters-temperature-records-in-the-west-who-is-it-affecting-and-when-will-it-break-185120540.html
https://news.yahoo.com/,Climate,5,1,"A home teeters on the brink of collapsing near the Rapidan Dam in Mankato, Minn., on Monday.","Midwest flooding: At least 2 dead as heavy rains collapse a bridge, threaten a dam and trigger evacuations",https://news.yahoo.com/news/midwest-flooding-at-least-2-dead-as-heavy-rains-collapse-a-bridge-threaten-a-dam-and-trigger-evacuations-164643377.html
https://news.yahoo.com/,Climate,5,2,A man wades through a flooded park in Minnesota.,"Midwest flooding: At least 2 dead as heavy rains collapse a bridge, threaten a dam and trigger evacuations",https://news.yahoo.com/news/midwest-flooding-at-least-2-dead-as-heavy-rains-collapse-a-bridge-threaten-a-dam-and-trigger-evacuations-164643377.html
https://news.yahoo.com/,Climate,5,3,"A railroad bridge connecting North Sioux City, S.D., and Sioux City, Iowa, partially collapsed on Monday.","Midwest flooding: At least 2 dead as heavy rains collapse a bridge, threaten a dam and trigger evacuations",https://news.yahoo.com/news/midwest-flooding-at-least-2-dead-as-heavy-rains-collapse-a-bridge-threaten-a-dam-and-trigger-evacuations-164643377.html
https://news.yahoo.com/,Climate,5,4,"An image taken by a drone shows floodwaters in Rock Valley, Iowa, Saturday. (Chris VB via Reuters)","Midwest flooding: At least 2 dead as heavy rains collapse a bridge, threaten a dam and trigger evacuations",https://news.yahoo.com/news/midwest-flooding-at-least-2-dead-as-heavy-rains-collapse-a-bridge-threaten-a-dam-and-trigger-evacuations-164643377.html
https://news.yahoo.com/,Climate,5,5,"High water levels at the Rapidan Dam on the Blue Earth River in Mankato, Minnesota on Monday, (Ben Brewer/Bloomberg via Getty Images)","Midwest flooding: At least 2 dead as heavy rains collapse a bridge, threaten a dam and trigger evacuations",https://news.yahoo.com/news/midwest-flooding-at-least-2-dead-as-heavy-rains-collapse-a-bridge-threaten-a-dam-and-trigger-evacuations-164643377.html
https://news.yahoo.com/,Climate,6,1,,Biden wants dishwashers to be more efficient. Republicans see a 'war on appliances.',https://news.yahoo.com/news/biden-wants-dishwashers-to-be-more-efficient-republicans-see-a-war-on-appliances-115925979.html
https://news.yahoo.com/,Climate,7,1,,The U.S. is the world's biggest supplier of natural gas. Why is Biden pumping the brakes on exports?,https://news.yahoo.com/news/the-us-is-the-worlds-biggest-supplier-of-natural-gas-why-is-biden-pumping-the-brakes-on-exports-165951032.html
https://news.yahoo.com/,Climate,8,1,Cars are left submerged in floodwaters after a rainstorm hit Dubai.,Dubai flooding: Dramatic photos after UAE sees heaviest rainfall in 75 years,https://news.yahoo.com/news/dubai-flooding-photos-videos-uae-airport-143351875.html
https://news.yahoo.com/,Climate,8,2,An abandoned SUV is seen submerged in floodwaters in Dubai.,Dubai flooding: Dramatic photos after UAE sees heaviest rainfall in 75 years,https://news.yahoo.com/news/dubai-flooding-photos-videos-uae-airport-143351875.html
https://news.yahoo.com/,Climate,8,3,A driver walks through floodwaters after abandoning his vehicle following a rainstorm.,Dubai flooding: Dramatic photos after UAE sees heaviest rainfall in 75 years,https://news.yahoo.com/news/dubai-flooding-photos-videos-uae-airport-143351875.html
https://news.yahoo.com/,Climate,8,4,An abandoned ambulance submerged in floodwater on a highway in Dubai.,Dubai flooding: Dramatic photos after UAE sees heaviest rainfall in 75 years,https://news.yahoo.com/news/dubai-flooding-photos-videos-uae-airport-143351875.html
https://news.yahoo.com/,Climate,8,5,A highway is flooded after a rainstorm in Dubai.,Dubai flooding: Dramatic photos after UAE sees heaviest rainfall in 75 years,https://news.yahoo.com/news/dubai-flooding-photos-videos-uae-airport-143351875.html
