,image_1_1,image_2_1,image_2_2,image_3_1,image_4_1,image_4_2,image_5_1,image_5_2,image_5_3,image_5_4,image_6_1,image_6_2,image_7_1,image_7_2,image_8_1,image_9_1,image_10_1,image_10_2,image_10_3
image_1_1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2_1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2_2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3_1,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0
image_4_1,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0
image_4_2,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0
image_5_1,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
image_5_2,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
image_5_3,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0
image_5_4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_6_1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_6_2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_7_1,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_7_2,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_8_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1
image_9_1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_10_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
image_10_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
image_10_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
