website,category,article_number,image number,alt,article_heading,article_url
https://news.yahoo.com/,US,1,1,,"Oct. 30 gubernatorial debate called off; another is in the works for Morrisey, Williams",https://www.yahoo.com/news/oct-30-gubernatorial-debate-called-175233503.html
https://news.yahoo.com/,US,2,1,Robert Santos (Photo/U.S. Census Bureau),Announcing an Historic Data Sharing Agreement Between Census Bureau and Osage Nation,https://www.yahoo.com/news/announcing-historic-data-sharing-agreement-174859847.html
https://news.yahoo.com/,US,3,1,,"Royal Caribbean, Carnival Cruise alter itineraries to avoid Tropical Storm Helene",https://www.yahoo.com/news/royal-caribbean-carnival-cruise-alter-174858045.html
https://news.yahoo.com/,US,4,1,,State police asking for help identifying suspect who stole thousands of dollars of vape products,https://www.yahoo.com/news/state-police-asking-help-identifying-174712972.html
https://news.yahoo.com/,US,5,1,"Frank Artiles, the former Florida GOP senator accused of paying a ghost candidate more than $40,000 to influence a 2020 Florida Senate seat election with a heavily favored Democratic candidate, appears in court during his election-conspiracy trial, at the Richard E. Gerstein Justice Building in Miami, Florida, on Friday Sept. 20, 2024.",Defense in Artiles election conspiracy trial portrays ghost candidate as scam artist,https://www.yahoo.com/news/defense-artiles-election-conspiracy-trial-174626847.html
https://news.yahoo.com/,US,6,1,,Orlando ranked as one of Florida’s hottest rental markets,https://www.yahoo.com/news/orlando-ranked-one-florida-hottest-174510739.html
https://news.yahoo.com/,US,7,1,,OceanGate employee pushes back against idea of ‘desperation’ to complete missions,https://www.yahoo.com/news/oceangate-employee-pushes-back-against-174421762.html
https://news.yahoo.com/,US,8,1,,Window washer rescued after dangling on the side of Kansas City’s tallest building,https://www.yahoo.com/news/window-washer-rescued-dangling-side-174343044.html
https://news.yahoo.com/,US,9,1,Smyrna Police Department Chief Keith Zgonc speaking,"2 Georgia police officers shot responding to gun store burglary, suspect dead",https://www.yahoo.com/news/2-georgia-police-officers-shot-121710279.html
https://news.yahoo.com/,US,10,1,,"Overshadowed by A and D, what about Utah’s other 2024 constitutional amendments?",https://www.yahoo.com/news/overshadowed-d-utah-other-2024-120258465.html
