article_number,image number,alt,article_heading,article_url
1,1,,Cancer patients must learn this: Massage this point every day to promote good health!,https://www.163.com/dy/article/JDJG1I8N0514AB5G.html
1,2,,Cancer patients must learn this: Massage this point every day to promote good health!,https://www.163.com/dy/article/JDJG1I8N0514AB5G.html
1,3,,Cancer patients must learn this: Massage this point every day to promote good health!,https://www.163.com/dy/article/JDJG1I8N0514AB5G.html
1,4,,Cancer patients must learn this: Massage this point every day to promote good health!,https://www.163.com/dy/article/JDJG1I8N0514AB5G.html
1,5,,Cancer patients must learn this: Massage this point every day to promote good health!,https://www.163.com/dy/article/JDJG1I8N0514AB5G.html
1,6,,Cancer patients must learn this: Massage this point every day to promote good health!,https://www.163.com/dy/article/JDJG1I8N0514AB5G.html
1,7,,Cancer patients must learn this: Massage this point every day to promote good health!,https://www.163.com/dy/article/JDJG1I8N0514AB5G.html
1,8,,Cancer patients must learn this: Massage this point every day to promote good health!,https://www.163.com/dy/article/JDJG1I8N0514AB5G.html
1,9,,Cancer patients must learn this: Massage this point every day to promote good health!,https://www.163.com/dy/article/JDJG1I8N0514AB5G.html
1,10,,Cancer patients must learn this: Massage this point every day to promote good health!,https://www.163.com/dy/article/JDJG1I8N0514AB5G.html
2,1,,Why is the mortality rate from cardiovascular disease higher if a tooth is missing?,https://www.163.com/dy/article/JDC4LLMU05148PF4.html
2,2,,Why is the mortality rate from cardiovascular disease higher if a tooth is missing?,https://www.163.com/dy/article/JDC4LLMU05148PF4.html
2,3,,Why is the mortality rate from cardiovascular disease higher if a tooth is missing?,https://www.163.com/dy/article/JDC4LLMU05148PF4.html
2,4,,Why is the mortality rate from cardiovascular disease higher if a tooth is missing?,https://www.163.com/dy/article/JDC4LLMU05148PF4.html
3,1,,A record of Lin Biao's defection: He planned a murder before fleeing and used his daughter as a cover during his escape but was reported instead,https://www.163.com/dy/article/I2Q7B8TT0522U93D.html?spss=post2020_rmd_3
3,2,,A record of Lin Biao's defection: He planned a murder before fleeing and used his daughter as a cover during his escape but was reported instead,https://www.163.com/dy/article/I2Q7B8TT0522U93D.html?spss=post2020_rmd_3
3,3,,A record of Lin Biao's defection: He planned a murder before fleeing and used his daughter as a cover during his escape but was reported instead,https://www.163.com/dy/article/I2Q7B8TT0522U93D.html?spss=post2020_rmd_3
