article_number,image number,alt,article_heading,article_url
1,1,Labour leader Sir Keir Starmer speaks to military personnel during a visit to a RAF base in Oxfordshire to meet troops and thank them for their service ahead of Armed Forces Day on Saturday 24 June. Picture date: Friday June 23 2023. (Photo by Stefan Rousseau/PA Images via Getty Images),Britain’s defense sector vies for stretched government funding on path to 2.5%,https://www.cnbc.com/2024/10/04/britains-defense-sector-vies-for-stretched-finances-ahead-of-budget.html
2,1,ISFAHAN IRAN NOVEMBER 08: A general view of Isfahan Refinery one of the largest refineries in Iran and is considered as the first refinery in the country in terms of diversity of petroleum products in Isfahan Iran on November 08 2023. The products of this refinery include liquefied gas gasoline gas oil aviation fuel types kerosene solvents crude oil and sulfur. (Photo by Fatemeh Bahrami/Anadolu via Getty Images),Oil market faces a rude awakening if Iran’s energy infrastructure is targeted analysts say,https://www.cnbc.com/2024/10/03/oil-prices-could-soar-if-israel-targets-irans-energy-infrastructure.html
2,2,MAHSHAHR OIL TERMINAL IRAN -- AUGUST 18 2023:  Maxar overview satellite imagery of the Fortune Galaxy Mahshahr Oil Terminal in Iran.  Please use: Satellite image (c) 2024 Maxar Technologies.,Oil market faces a rude awakening if Iran’s energy infrastructure is targeted analysts say,https://www.cnbc.com/2024/10/03/oil-prices-could-soar-if-israel-targets-irans-energy-infrastructure.html
3,1,HEFEI CHINA - SEPTEMBER 25 2024 - Workers produce pure electric vehicles at a workshop of Volkswagen (Anhui) Co LTD in Hefei East China's Anhui province Sept 25 2024. (Photo credit should read CFOTO/Future Publishing via Getty Images),Auto giants are getting nervous about the prospect of mega fines as EV demand falters,https://www.cnbc.com/2024/10/03/auto-giants-are-getting-nervous-about-the-prospect-of-massive-fines.html
3,2,WEISSENFELS GERMANY - SEPTEMBER 04: An electric car charging station of provider EnBw stands on September 04 2024 near Weissenfels Germany. The German government announced yesterday it will soon introduce new tax incentives in an effort to boost the sales of electric cars which have faltered over the last year. (Photo by Sean Gallup/Getty Images),Auto giants are getting nervous about the prospect of mega fines as EV demand falters,https://www.cnbc.com/2024/10/03/auto-giants-are-getting-nervous-about-the-prospect-of-massive-fines.html
3,3,Assembled Renault Twingo and Clio automobiles at the end of the production line at the Renault Revoz d.d. plant a unit of Renault SA in Novo Mesto Slovenia on Wednesday Nov. 16 2022. Renault last week presented a radical overhaul plan to investors proceeding with a complex split of Renault's electric-vehicle and combustion-engine businesses. Photographer: Oliver Bunic/Bloomberg via Getty Images,Auto giants are getting nervous about the prospect of mega fines as EV demand falters,https://www.cnbc.com/2024/10/03/auto-giants-are-getting-nervous-about-the-prospect-of-massive-fines.html
4,1,Andrew Forrest chairman of Fortescue Metals Group Ltd. during the Asia-Pacific Economic Cooperation (APEC) CEO Summit in San Francisco California US on Thursday Nov. 16 2023. Executives from large multinationals are converging on the sidelines of APEC in San Francisco this week for an audience with the Chinese president and other Asian leaders as long-frosty US-China relations show only tentative signs of warming. Photographer: David Paul Morris/Bloomberg via Getty Images,Sustainable Future,https://www.cnbc.com/2024/10/02/mining-giant-fortescue-time-to-walk-away-from-the-net-zero-fantasy.html
4,2,A hydrogen-powered haul truck right at the Fortescue Metals Group Ltd. Christmas Creek mine in the Pilbara region of Western Australia Australia on Tuesday Oct. 17 2023. Chinese demand for Australian iron ore will remain strong despite the nation's disappointing post-pandemic recovery according to Fortescue Metals the world's fourth-biggest producer. Photographer: Carla Gottgens/Bloomberg via Getty Images,Sustainable Future,https://www.cnbc.com/2024/10/02/mining-giant-fortescue-time-to-walk-away-from-the-net-zero-fantasy.html
4,3,A worker walks in the Green Hub area of the Fortescue Metals Group Ltd. Christmas Creek mine in the Pilbara region of Western Australia Australia on Tuesday Oct. 17 2023. Chinese demand for Australian iron ore will remain strong despite the nation's disappointing post-pandemic recovery according to Fortescue Metals the world's fourth-biggest producer. Photographer: Carla Gottgens/Bloomberg via Getty Images,Sustainable Future,https://www.cnbc.com/2024/10/02/mining-giant-fortescue-time-to-walk-away-from-the-net-zero-fantasy.html
5,1,Pedestrians on Anne Street South in Dublin Ireland on Thursday March 28 2024. Ireland has maintained a stable economy and almost full employment but the Irish face a desperate lack of affordable housing exacerbated by the largest influx of migration the country has ever seen. Photographer: Patrick Bolger/Bloomberg via Getty Images,Ireland reveals how it plans to spend ‘transformational’ $14 billion Apple tax windfall,https://www.cnbc.com/2024/10/02/ireland-reveals-how-it-plans-to-spend-its-14-billion-apple-windfall.html
5,2,Ireland's Minister for Finance Jack Chambers (L) and Ireland's Minister for Public Expenditure National Development Plan Delivery and Reform Paschal Donohoe pose during a photocall prior to presenting the 2025 Irish Budget to Parliament at Government Buildings in Dublin on October 1 2024. (Photo by PAUL FAITH / AFP) (Photo by PAUL FAITH/AFP via Getty Images),Ireland reveals how it plans to spend ‘transformational’ $14 billion Apple tax windfall,https://www.cnbc.com/2024/10/02/ireland-reveals-how-it-plans-to-spend-its-14-billion-apple-windfall.html
6,1,Austrian Chancellor and Head of the Austrian People's Party (OeVP) Karl Nehammer (L) and chairman and top candidate of the Freedom Party of Austria (FPOe) Herbert Kickl (R) meet during their pre-election tv debate hosted by Austrian state network ORF in Vienna Austria on September 23 2024.,Austrian far right pledges to win Sunday’s election as tight race winds up,https://www.cnbc.com/2024/09/28/austrian-far-right-pledges-to-win-election-as-tight-race-winds-up.html
6,2,VIENNA AUSTRIA - SEPTEMBER 24: People walk past election campaign billboards showing Austrian Chancellor Karl Nehammer of the Austrian People's Party (OeVP) and Herbet Kickl of the far-right Austria Freedom Party (FPOe) on September 24 2024 in Vienna Austria. Austria is scheduled to hold parliamentary elections on September 29. (Photo by Thomas Kronsteiner/Getty Images),Austrian far right pledges to win Sunday’s election as tight race winds up,https://www.cnbc.com/2024/09/28/austrian-far-right-pledges-to-win-election-as-tight-race-winds-up.html
7,1,Head of Freedom Party (FPOe) Herbert Kickl speaks as vote projections show that FPOe won the general election in Vienna Austria September 29 2024. REUTERS/Lisa Leutner,Far-right wins close Austria election a boost for Putin,https://www.cnbc.com/2024/09/29/far-right-wins-close-austria-election-a-boost-for-putin.html
7,2,Head of Freedom Party (FPOe) Herbert Kickl gestures as vote projections show that FPOe won the general election in Vienna Austria September 29 2024. REUTERS/Lisa Leutner,Far-right wins close Austria election a boost for Putin,https://www.cnbc.com/2024/09/29/far-right-wins-close-austria-election-a-boost-for-putin.html
7,3,Head of Freedom Party (FPOe) Herbert Kickl speaks as vote projections show that FPOe won the general election in Vienna Austria September 29 2024. REUTERS/Lisa Leutner,Far-right wins close Austria election a boost for Putin,https://www.cnbc.com/2024/09/29/far-right-wins-close-austria-election-a-boost-for-putin.html
8,1,Mark Rutte incoming secretary general of the North Atlantic Treaty Organization (NATO) during a transition ceremony at the NATO headquarters in Brussels Belgium on Tuesday Oct. 1 2024. Mark Rutte the affable and meticulous former Dutch premier has a daunting task ahead to keep the defense alliance a global force. Photographer: Ksenia Kuleshova/Bloomberg via Getty Images,NATO’s new chief will have to confront threats outside the alliance — and within,https://www.cnbc.com/2024/10/01/mark-rutte-will-have-to-confront-threats-within-and-outside-nato.html
8,2,Jens Stoltenberg outgoing secretary general of the North Atlantic Treaty Organization (NATO) right shakes hands with Mark Rutte incoming secretary general of the North Atlantic Treaty Organization (NATO) during a transition ceremony at the NATO headquarters in Brussels Belgium on Tuesday Oct. 1 2024. Mark Rutte the affable and meticulous former Dutch premier has a daunting task ahead to keep the defense alliance a global force. Photographer: Ksenia Kuleshova/Bloomberg via Getty Images,NATO’s new chief will have to confront threats outside the alliance — and within,https://www.cnbc.com/2024/10/01/mark-rutte-will-have-to-confront-threats-within-and-outside-nato.html
