image number,alt,article_heading,article_url
image_1_1.jpg,Under current guidelines only those with type 2 diabetes who do not have the condition under control are eligible to get Mounjaro via the health service,Hoping to get Mounjaro on the NHS? Millions may miss out on 'King Kong' weight loss jab because of health chiefs' BIG mistake say experts,https://www.dailymail.co.uk/health/article-13924705/mounjaro-nhs-rollout-threatened-king-kong-slow.html
image_1_2.jpg,,Hoping to get Mounjaro on the NHS? Millions may miss out on 'King Kong' weight loss jab because of health chiefs' BIG mistake say experts,https://www.dailymail.co.uk/health/article-13924705/mounjaro-nhs-rollout-threatened-king-kong-slow.html
image_1_3.jpg,,Hoping to get Mounjaro on the NHS? Millions may miss out on 'King Kong' weight loss jab because of health chiefs' BIG mistake say experts,https://www.dailymail.co.uk/health/article-13924705/mounjaro-nhs-rollout-threatened-king-kong-slow.html
image_1_4.jpg,,Hoping to get Mounjaro on the NHS? Millions may miss out on 'King Kong' weight loss jab because of health chiefs' BIG mistake say experts,https://www.dailymail.co.uk/health/article-13924705/mounjaro-nhs-rollout-threatened-king-kong-slow.html
image_2_1.jpg,Women with ¿worrying¿ lumps in their breasts will be able to refer themselves directly to a specialist in an effort to improve cancer outcomes,Women with breast cancer symptoms can 'self-refer' for scans without going to the GP first in pioneering NHS trial,https://www.dailymail.co.uk/health/article-13924523/Women-breast-cancer-symptoms-self-refer-without-going-GP.html
image_2_2.jpg,,Women with breast cancer symptoms can 'self-refer' for scans without going to the GP first in pioneering NHS trial,https://www.dailymail.co.uk/health/article-13924523/Women-breast-cancer-symptoms-self-refer-without-going-GP.html
image_2_3.jpg,,Women with breast cancer symptoms can 'self-refer' for scans without going to the GP first in pioneering NHS trial,https://www.dailymail.co.uk/health/article-13924523/Women-breast-cancer-symptoms-self-refer-without-going-GP.html
image_2_4.jpg,,Women with breast cancer symptoms can 'self-refer' for scans without going to the GP first in pioneering NHS trial,https://www.dailymail.co.uk/health/article-13924523/Women-breast-cancer-symptoms-self-refer-without-going-GP.html
image_2_5.jpg,,Women with breast cancer symptoms can 'self-refer' for scans without going to the GP first in pioneering NHS trial,https://www.dailymail.co.uk/health/article-13924523/Women-breast-cancer-symptoms-self-refer-without-going-GP.html
image_3_1.jpg,"The 44-year-old actor plays newly-single, Noah, a witty basketball-playing rabbi who finds himself tangled in a relationship with Joanne ¿ Kirsten Bell ¿ an agnostic sex and relationships podcaster",Is this why you're obsessed with Netflix's 'hot Rabbi?' Psychologists pinpoint 3 key features of a 'perfect man' as the internet goes wild for Adam Brody's character in hit show Nobody Wants This,https://www.dailymail.co.uk/health/article-13924049/Netflix-hot-Rabbi-Psychologist-perfect-Adam-Brody.html
