image number,alt,article_heading,article_url
image_1_1.jpg,,Kirsty Gallacher announces shock new career move away from sports presenting as she teases 'exciting' new project,https://www.dailymail.co.uk/tvshowbiz/article-13936135/Kirsty-Gallacher-announces-shock-new-career-away-sports-presenting-teases-exciting-new-project.html
image_1_2.jpg,,Kirsty Gallacher announces shock new career move away from sports presenting as she teases 'exciting' new project,https://www.dailymail.co.uk/tvshowbiz/article-13936135/Kirsty-Gallacher-announces-shock-new-career-away-sports-presenting-teases-exciting-new-project.html
image_1_3.jpg,,Kirsty Gallacher announces shock new career move away from sports presenting as she teases 'exciting' new project,https://www.dailymail.co.uk/tvshowbiz/article-13936135/Kirsty-Gallacher-announces-shock-new-career-away-sports-presenting-teases-exciting-new-project.html
image_1_4.jpg,,Kirsty Gallacher announces shock new career move away from sports presenting as she teases 'exciting' new project,https://www.dailymail.co.uk/tvshowbiz/article-13936135/Kirsty-Gallacher-announces-shock-new-career-away-sports-presenting-teases-exciting-new-project.html
image_1_5.jpg,,Kirsty Gallacher announces shock new career move away from sports presenting as she teases 'exciting' new project,https://www.dailymail.co.uk/tvshowbiz/article-13936135/Kirsty-Gallacher-announces-shock-new-career-away-sports-presenting-teases-exciting-new-project.html
image_2_1.jpg,7News sports reporter Josh Money (left) has 'switched stations' in his search for love after divorcing his ex wife Tiffany Warne (right),Seven reporter shacks up with Nine star after breaking up with Channel Ten weather presenter,https://www.dailymail.co.uk/tvshowbiz/article-13936703/Seven-reporter-dates-Nine-star-split-Channel-Ten-presenter.html
image_2_2.jpg,,Seven reporter shacks up with Nine star after breaking up with Channel Ten weather presenter,https://www.dailymail.co.uk/tvshowbiz/article-13936703/Seven-reporter-dates-Nine-star-split-Channel-Ten-presenter.html
image_2_3.jpg,,Seven reporter shacks up with Nine star after breaking up with Channel Ten weather presenter,https://www.dailymail.co.uk/tvshowbiz/article-13936703/Seven-reporter-dates-Nine-star-split-Channel-Ten-presenter.html
image_2_4.jpg,,Seven reporter shacks up with Nine star after breaking up with Channel Ten weather presenter,https://www.dailymail.co.uk/tvshowbiz/article-13936703/Seven-reporter-dates-Nine-star-split-Channel-Ten-presenter.html
image_3_1.jpg,Cameron Daddo has revealed that he didn't start an acting career until his 20s because he struggled with anxiety. Pictured on Today Extra,Cameron Daddo reveals mental health battle that left him with a stutter and held him back from acting career: 'My mind would race',https://www.dailymail.co.uk/tvshowbiz/article-13936783/Cameron-Daddo-mental-health-stutter.html
image_4_1.jpg,,EXCLUSIVEJordan Stephens admits he 'didn't think I could feel love like this' as he gives a rare insight into his relationship with Jade Thirlwall,https://www.dailymail.co.uk/tvshowbiz/article-13936739/Jordan-Stephens-admits-didnt-think-feel-love-like-gives-rare-insight-relationship-Jade-Thirlwall.html
