image number,alt,article_heading,article_url
image_1_1.jpg,Frame 1,Apple Sells Privacy To Consumers. But It’s Quietly Helping Police Use iPhones For Surveillance.,https://www.forbes.com/sites/thomasbrewster/2024/10/09/apple-sells-privacy-to-consumers-but-its-quietly-helping-police-use-iphones-for-surveillance/?ss=cybersecurity
image_2_1.jpg,China hacking campaign on US telecoms,The Wiretap: China Has Infiltrated Police Wiretap Systems,https://www.forbes.com/sites/thomasbrewster/2024/10/08/the-wiretap-china-has-infiltrated-police-wiretap-systems/?ss=cybersecurity
image_3_1.jpg,As AI capabilities advance so do the threats posed by malicious actors.,Cybersecurity Risks: When AI Becomes A Tool For Evil,https://www.forbes.com/sites/emilsayegh/2024/10/08/cybersecurity-risks-when-ai-becomes-a-tool-for-evil/?ss=cybersecurity
image_4_1.jpg,IMG_3172,How Hurricane Helene Deepfakes Flooding Social Media Hurt Real People,https://www.forbes.com/sites/larsdaniel/2024/10/04/hurricane-helena-deepfakes-flooding-social-media-hurt-real-people/?ss=cybersecurity
image_5_1.jpg,DDoS,The Wiretap: The Biggest DDoS Attack Ever Didn’t Cause Any Noticeable Damage,https://www.forbes.com/sites/thomasbrewster/2024/10/02/the-wiretap-the-biggest-ddos-attack-ever-didnt-cause-any-noticeable-damage/?ss=cybersecurity
image_6_1.jpg,Pictured WIndows logo on screen at event,Microsoft Warns Millions Of Windows Users—Change Your Browser As New Attacks Underway,https://www.forbes.com/sites/zakdoffman/2024/10/11/new-microsoft-windows-10-windows-11-warning-for-2-billion-google-chrome-users/?ss=cybersecurity
image_7_1.jpg,Smart touch screen multimedia system for automobile.,Is Your Car Spying On You? The Alarming Truth About Car Data Collection,https://www.forbes.com/sites/larsdaniel/2024/10/11/is-your-car-spying-on-you-the-alarming-truth-about-car-data-collection/?ss=cybersecurity
image_8_1.jpg,Chat Bot Service Concept - Enhancing Customer Experience with Virtual Assistant,How AI Is Revolutionizing Customer Experience,https://www.forbes.com/sites/tonybradley/2024/10/11/how-ai-is-revolutionizing-customer-experience/?ss=cybersecurity
image_9_1.jpg,Social Media User Illustration Photos,TikTok ‘Designed To Be An Addiction Machine Targeting Children’ Says AG Coleman,https://www.forbes.com/sites/larsdaniel/2024/10/11/tiktok-designed-to-be-an-addiction-machine-targeting-children-says-ag-coleman/?ss=cybersecurity
image_10_1.jpg,Pictured iMessage menu screenshot ,Apple’s New iPhone Update—Bad News Revealed For Millions Of Google Users,https://www.forbes.com/sites/zakdoffman/2024/10/11/apple-ios-18-bad-news-for-google-as-millions-of-iphone-15-iphone-16-users-update/?ss=cybersecurity
