article_number,image number,alt,article_heading
1,1,new york surgeons ,Groundbreaking: Surgeons In New York Successfully Perform First-Ever Whole-Eye Transplant
2,1,Pexels,Women Break The Taboo! Here's How To Close The Pleasure Gap And Take Control Like A Boss
3,1,Tedros Adhanom Ghebreyesus,WHO Says Coronavirus Situation “Worsening” Worldwide
4,1,Indiatimes,Good News! Russia To Launch Its First Covid-19 Drug Next Week
5,1,Indiatimes,World Milk Day 2020 : Importance Theme And How It Is Celebrated 
6,1,Indiatimes,World No Tobacco Day 2020 - Theme And Significance
7,1,Heatwave,Heatwave In India: Sign Of Heatstroke & How To Prevent It
8,1,Coronavirus, New Study Claims That Coronavirus Could Cause Thyroid Disease In Patients
9,1,Indiatimes,World’s AIDS Vaccine Day 2020: Here’s Everything You Need To Know
10,1,Why Essential Medicines Are Set To Get Costlier For You From April 1, India’s Jubilant Signs Licensing Deal For US Pharma Gilead’s COVID-19 Drug
