image number,alt,article_heading,description
image_1_1.jpg,The restructuring was supposed to be completed almost a year ago now layoffs have been announced in the subsidiary /123RF/Picsel 123RF/Picsel /123RF/PICSEL,Mass layoffs in a large Polish company. Dozens of people will lose their jobs in a month,"The image depicts a person's hand resting on a white computer keyboard, with the focus on the keyboard and the hand. The keyboard is positioned on a wooden surface, and the person appears to be seated in a room with a red wall in the background. The room has a modern aesthetic with a large screen displaying what seems to be a video game or a computer interface. The lighting in the room is bright, with a mix of natural and artificial light sources, creating a warm and inviting atmosphere. The person's hand is wearing a ring, and the overall setting suggests a casual, comfortable environment, possibly a home or a casual workspace."
image_2_1.jpg,"What's next for changes in the health insurance premium? Will the ""minimum variant"" win? Illustrated photo /123RF/PICSEL",What's next for the health insurance premium? Possible minimum variant,"The image depicts a close-up view of a person's hand interacting with a calculator. The calculator has a black and green color scheme with white numbers and symbols. The person's hand is positioned on the calculator, with their thumb on the ""clear"" button and their index finger on the ""enter"" button, suggesting they are in the process of performing a calculation. The calculator is placed on a surface that appears to be a desk or table, and there is a piece of paper with writing on it in the background, indicating that the person might be working on a task that involves calculations or data entry. The focus of the image is on the interaction between the person's hand and the calculator, capturing a moment of human-computer interaction."
image_3_1.jpg,What are the current health and social insurance contributions for JDG? /Bartłomiej Magierowski /East News,How much is the ZUS contribution for a sole proprietorship? Here are the rates,"The image depicts a person's hands holding a smartphone with a green screen displaying text in Romanian. The phone is being used to show a receipt or transaction details, as indicated by the text on the screen. The person's hands are positioned on a table with a patterned tablecloth, and there are various banknotes and a piece of paper with text on it in the background. The setting suggests a casual, everyday scenario, possibly related to financial transactions or accounting. The text on the phone screen includes the word ""ZAGAZIE,"" which translates to ""TAX"" in English, and ""DO PUNTE,"" which means ""TO POINT"" or ""TO PAY."""
image_4_1.jpg,Reform and reduction of health insurance contributions is one of the election promises recorded in 100 specifics of KO /Tomasz Jastrzębowski /Reporter,Żukowska on health insurance premium cuts after flood: It's irresponsible,"The image shows a woman standing in front of a blue flag. She appears to be middle-aged, with short, curly hair and a serious expression on her face. She is wearing a dark blazer over a white shirt, and there is a visible pin or badge on the left side of her blazer. The background is blurred, but it seems to be an outdoor setting with greenery, suggesting that the photo might have been taken at an event or gathering. The woman's attire and the presence of the flag indicate that she may be in a professional or official capacity."
image_5_1.jpg,Cardboard is the basic packaging for courier shipments but we are increasingly replacing it in a non-obvious way /Bartłomiej Magierowski/East News /East News,Plastic bags juice boxes and paper rolls. This is how Poles pack parcels but how should they do it?,"The image depicts a person interacting with a yellow locker. The locker has a blue and white advertisement on the back, featuring a man in a suit. The person is holding the locker door open with their left hand, revealing the contents inside. The locker contains a white box and a black bag. The person is wearing a black jacket and has a watch on their left wrist. The locker is situated in a public setting, possibly a train station or a bus terminal, given the design and the presence of the advertisement."
image_6_1.jpg,The Sejm passed an amendment to the Personal Income Tax Act today introducing the so-called cash PIT for entrepreneurs. In the photo: Marshal of the Sejm Szymon Hołownia / Radek Pietruszka /PAP,Cash PIT in the Sejm. Tax only after receiving payment,"The image depicts a man seated in a chair, which appears to be a ceremonial or official chair, possibly in a legislative assembly or a similar formal setting. The man is wearing a dark suit with a tie, suggesting a formal or professional attire. He has short hair and is wearing glasses. The chair has a high back and is upholstered in a green fabric, which is a common color for such chairs to symbolize authority or to match the color scheme of the room. The background is blurred, but it seems to be a room with a red curtain, which could indicate a chamber or a hall with a formal design. The man's expression is serious, and he is looking directly at the camera, giving the impression that he is addressing an audience or posing for a photograph."
image_7_1.jpg,Many entrepreneurs suffered as a result of the flood. Now they will receive compensation but they will have to pay tax (illustration photo) /NewsLubuski/East News /East News,They suffered from floods. They will receive compensation but they will have to pay tax,"The image depicts a scene of urban decay and environmental impact. In the foreground, there is a large pile of rubble and debris, which appears to be the result of a significant demolition or destruction event. The rubble includes various materials, such as concrete, metal, and wood, and there are also what look like remnants of furniture, suggesting that a building or a section of a building has been destroyed.  The debris is situated on a street that is flooded with water, indicating that the area has experienced heavy rainfall or a storm surge. The water level is high enough to partially submerge the rubble, and it reflects the surrounding environment.  In the background, there are buildings that appear to be residential or commercial structures. One building has a sign that reads ""STANDELLA,"" which could be the name of the building or a business. The architecture of the buildings suggests a European influence, possibly in a coastal or riverfront location.  The overall atmosphere of the image is somber and poignant, highlighting the consequences of human actions and the impact of natural disasters on urban environments. The image does not contain any people, which adds to the sense of abandonment and desolation."
image_8_1.jpg,As a result of the flood many entrepreneurs lost their property /Adam Burakowski/East News /East News,The government promises help for companies after the flood but sets conditions,"The image depicts a scene of urban decay and environmental concern. The setting appears to be a street in a city, with buildings visible in the background. The ground is strewn with various discarded items, including cardboard boxes, plastic bottles, and other trash. There is a sense of neglect and abandonment.  In the foreground, there is a shopping cart overflowing with empty beer bottles, suggesting a recent event or gathering. The cart is positioned on the right side of the image, and the bottles are visible in the cart and on the ground around it.  On the left side of the image, there is a pile of debris, including what looks like a wooden pallet and other miscellaneous items. The debris is scattered and appears to be the result of a recent cleanup or demolition.  In the background, there are several people, although they are not the focus of the image. They seem to be going about their day, possibly unaware of the environmental issues in their midst.  The sky is clear, indicating fair weather, which contrasts with the unsanitary conditions on the ground. The overall tone of the image is somber and thought-provoking, highlighting the issue of littering and the impact it has on the environment and public spaces."
image_9_1.jpg,Kaufland is looking for employees /123RF/PICSEL,Recruitment has started at a well-known chain of stores. The salary is higher than the national average,"The image depicts a large, illuminated signboard with the word ""Kaufland"" prominently displayed in red letters against a white background. The signboard is mounted on the side of a building, which appears to be a commercial or retail establishment. The building itself is partially visible, with a facade that suggests it might be a store or a shopping center. The sky in the background is dark, indicating that the photo was taken during the evening or at night. The lighting from the signboard and the building's exterior lights create a warm glow that contrasts with the darker sky. The overall atmosphere of the image suggests a commercial area, possibly in a city or town center."
image_10_1.jpg,Companies in flooded areas also suffered greatly in the flood /PAP/Michał Meissner/,Flood special act. Not all companies will benefit from relief? Experts call it a trap,"The image depicts a scene of a flood in a residential area. The water level has risen significantly, submerging the streets and reaching the lower levels of houses. The water appears to be murky, suggesting it may be contaminated or carrying debris. In the foreground, there is a fire truck partially submerged, indicating that emergency services are responding to the situation. The truck's presence suggests that the flood is severe enough to warrant a response from the fire department.  The houses in the background are partially submerged, with the water reaching up to the roofs. The architecture of the houses varies, with some having visible windows and others not. The colors of the houses are muted, with a mix of white, beige, and brown tones, which are typical for residential areas.  There are no visible texts or distinctive brands in the image. The style of the image is a standard, non-stylized photograph, likely taken during the day due to the natural lighting. The image captures the immediate aftermath of a flood, with the water still rising and the community likely in the process of evacuating or responding to the emergency."
