article_number,image number,alt,article_heading
1,1,Third party liability insurance prices have skyrocketed. In 1.5 years they have increased by as much as 40 percent. /123RF/PICSEL,Third-party liability insurance increases reach 40 percent. Drivers can't believe what they see
2,1,Renault 4 /press materials,Renault 4 is just around the corner. Selected ones can already reserve it
3,1,Porsche 718 Cayman driver tried to outsmart police officers but only attracted their attention /Police,Porsche driver tried to outsmart the police. And that's what ruined him
4,1,Motorcycle driving licenses have many categories. They can be obtained at different ages and give different permissions /Robert Stachnik /Reporter,At what age can you get a motorcycle license? Categories and requirements
5,1,24 state institutions will soon receive 77 new cars. Audi A6 and A4 on the list / Beata Zawrzel/REPORTER /Agencja SE/East News,The government is buying 77 cars for 10 million złoty. The list includes Audi A4 and A6
6,1,Silesian police bought 85 new Toyota Corolla TS /Police,New police weapon for PLN 13 million. It looks exactly like the old police weapon
7,1,The new Rolls-Royce Cullinan Series II debuted on the Polish market /Jan Guss-Gasiński /INTERIA.PL,New Rolls-Royce Cullinan Series II. Facelift to Fulfill Even More Dreams
8,1,New fuel promotions have started at Auchan Hyperoil stations /Michał Domański /INTERIA.PL,Fuel prices haven't been this low in years. Have you received a text message with the promotion yet?
9,1,"700 new speed meters for the traffic police. They will be ""dried and photographed"" /Photo Piotr Jedzura /Reporter",700 new radars for the police. You can no longer get away with a ticket
10,1,A special police operation resulted in issuing 308 tickets /Police,They issued tickets for over 134 thousand PLN. Spectacular police action
