website,category,article_number,image number,alt,article_heading,article_url
https://www.ndtv.com/,Science,1,1,"Baby Brains Recognise Eye Contact From Robots Too, New Study Finds","Baby Brains Recognise Eye Contact From Robots Too, New Study Finds",https://www.ndtv.com/science/baby-brains-recognise-eye-contact-from-robots-too-new-study-finds-6618998
https://www.ndtv.com/,Science,2,1,'Lowest Note Ever': NASA Reveals Sound Vibration Near A Black Hole 250 Million Light Years Away,'Lowest Note Ever': NASA Reveals Sound Vibration Near A Black Hole 250 Million Light Years Away,https://www.ndtv.com/science/lowest-note-ever-nasa-reveals-sound-vibration-near-a-black-hole-250-million-light-years-away-6614997
https://www.ndtv.com/,Science,3,1,"Scientists Discover New Blood Group, Solve 50-Year-Old Mystery","Scientists Discover New Blood Group, Solve 50-Year-Old Mystery",https://www.ndtv.com/science/scientists-discover-new-blood-group-solve-50-year-old-mystery-6592794
https://www.ndtv.com/,Science,4,1,"Heat Stress: New Research Shows Lower Threshold, Urgent Need For Action","Heat Stress: New Research Shows Lower Threshold, Urgent Need For Action",https://www.ndtv.com/science/heat-stress-new-research-shows-lower-threshold-urgent-need-for-action-6619163
https://www.ndtv.com/,Science,5,1,A 120-Feet Airplane-Sized Asteroid Makes A Close Flyby Of Earth,A 120-Feet Airplane-Sized Asteroid Makes A Close Flyby Of Earth,https://www.ndtv.com/science/a-120-feet-airplane-sized-asteroid-makes-a-close-flyby-of-earth-6602018
https://www.ndtv.com/,Science,6,1,Nearly 40 Million Could Die By 2050 From Antibiotic-Resistant Infections: Study,Nearly 40 Million Could Die By 2050 From Antibiotic-Resistant Infections: Study,https://www.ndtv.com/science/nearly-40-million-could-die-by-2050-from-antibiotic-resistant-infections-study-6599680
https://www.ndtv.com/,Science,7,1,Elon Musk's Starlink Satellites 'Blocking' View Of The Universe: Report,Elon Musk's Starlink Satellites 'Blocking' View Of The Universe: Report,https://www.ndtv.com/science/elon-musks-starlink-satellites-blocking-view-of-the-universe-report-6595679
https://www.ndtv.com/,Science,8,1,Sitting Too Much? Here's How Much Exercise You Need To Counteract The Effects,Sitting Too Much? Here's How Much Exercise You Need To Counteract The Effects,https://www.ndtv.com/science/sitting-too-much-heres-how-much-exercise-you-need-to-counteract-the-effects-6604680
https://www.ndtv.com/,Science,9,1,Massive Asteroid's Near-Earth Approach In 2029. But There's A Bigger Danger,Massive Asteroid's Near-Earth Approach In 2029. But There's A Bigger Danger,https://www.ndtv.com/science/asteroid-apophis-massive-asteroids-near-earth-approach-in-2029-but-theres-a-bigger-danger-6592339
https://www.ndtv.com/,Science,10,1,Mega Black Hole In Distant Galaxy Sends 2 Jets Of Energy: What It Means,Mega Black Hole In Distant Galaxy Sends 2 Jets Of Energy: What It Means,https://www.ndtv.com/science/mega-black-hole-in-distant-galaxy-sends-2-jets-of-energy-what-it-means-6600509
