article_number,image number,alt,article_heading,article_url
1,1,Volkswagen may close its factories in Germany for the first time,Volkswagen may close its factories in Germany for the first time,https://auto.rambler.ru/news/53530951-volkswagen-mozhet-vpervye-zakryt-svoi-zavody-v-germanii/
2,1,The Sollers Argo truck has become even more Russian. What has changed,Sollers Argo truck has become even more Russian – what has changed,https://auto.rambler.ru/news/53530353-gruzovik-sollers-argo-stal-esche-bolee-rossiyskim-chto-izmenilos/
3,1,McLaren W1 hypercar exterior revealed before premiere,McLaren W1 hypercar exterior revealed before premiere,https://auto.rambler.ru/news/53530291-vneshnost-giperkara-mclaren-w1-raskryli-do-premery/
4,1,Two Changan crossovers have become more expensive in Russia. How much do they cost?,Two Changan crossovers have become more expensive in Russia. How much do they cost?,https://auto.rambler.ru/news/53530215-v-rossii-podorozhali-dva-krossovera-marki-changan-skolko-oni-stoyat/
5,1,New Toyota Camry XV80 officially arrived in Kazakhstan,New Toyota Camry XV80 officially arrived in Kazakhstan: all prices,https://auto.rambler.ru/news/53529426-novaya-toyota-camry-xv80-ofitsialno-prishla-v-kazahstan-vse-tseny/
5,2,,New Toyota Camry XV80 officially arrived in Kazakhstan: all prices,https://auto.rambler.ru/news/53529426-novaya-toyota-camry-xv80-ofitsialno-prishla-v-kazahstan-vse-tseny/
6,1,Scania has started equipping new trucks with used gearboxes,Scania has started equipping new trucks with used gearboxes,https://auto.rambler.ru/news/53529232-scania-nachala-osnaschat-novye-gruzoviki-beushnymi-korobkami-peredach/
7,1,KAMAZ sells hundreds of used K4 generation trucks,KAMAZ sells hundreds of used K4 generation trucks,https://auto.rambler.ru/news/53528056-kamaz-sotnyami-rasprodaet-poderzhannye-gruzoviki-pokoleniya-k4/
8,1,German auto giants oppose tariffs on Chinese electric vehicles,German auto giants oppose tariffs on Chinese electric vehicles,https://auto.rambler.ru/news/53526288-nemetskie-avtogiganty-vystupili-protiv-poshlin-na-elektromobili-knr/
9,1,German auto giants oppose EC-approved tariffs on Chinese electric vehicles,German auto giants oppose EC-approved tariffs on Chinese electric vehicles,https://auto.rambler.ru/news/53527680-nemetskie-avtogiganty-vystupili-protiv-odobrennyh-ek-poshlin-na-elektromobili-knr/
10,1,Repairing Chinese cars has become a big problem for their owners,Repair of Chinese cars has become a big problem for Russians,https://auto.rambler.ru/news/53526792-remont-kitayskiy-avtomobiley-stal-bolshoy-problemoy-dlya-rossiyan/
