article_number,image number,alt,article_heading,article_url
1,1,Wembanyama names WNBA representative who inspires him,Wembanyama names WNBA representative who inspires him,https://sport.rambler.ru/basketball/53529516-vembanyama-nazval-predstavitelnitsu-wnba-kotoraya-vdohnovlyaet-ego/
2,1,LeBron James' Son Bronny Makes NBA Preseason Debut,LeBron James' Son Bronny Makes NBA Preseason Debut,https://sport.rambler.ru/basketball/53525211-syn-lebrona-dzheymsa-bronni-debyutiroval-v-predsezonnom-matche-nba/
3,1,Draymond Green has paid over $3 million in suspensions during his NBA career.,Draymond Green has paid over $3 million in suspensions during his NBA career,https://sport.rambler.ru/basketball/53528488-dreymond-grin-vyplatil-za-kareru-v-nba-bolee-3-mln-za-diskvalifikatsii/
4,1,Caitlin Clarke Named WNBA Rookie of the Season,Caitlin Clark Named WNBA Rookie of the Season,https://sport.rambler.ru/basketball/53527012-keytlin-klark-priznana-novichkom-sezona-v-zhenskoy-nba/
5,1,Almost all Maccabi legionnaires decided not to go to Israel after the Euroleague match,All Maccabi legionnaires except one decided not to travel to Israel after the Euroleague match,https://sport.rambler.ru/basketball/53526799-vse-legionery-makkabi-krome-odnogo-reshili-ne-ehat-v-izrail-posle-matcha-evroligi/
6,1,CSKA player Avramovich named the three best matches of his career,"""Definitely."" CSKA player Alexa Avramovic named the three best matches of his career",https://sport.rambler.ru/basketball/53524665-odnoznachno-igrok-tsska-aleksa-avramovich-nazval-tri-luchshih-matcha-v-karere/
7,1,Gomelsky responded to a fan who called CSKA player Antonov mediocre,Vladimir Gomelsky responded to a fan who called CSKA player Semyon Antonov mediocre,https://sport.rambler.ru/basketball/53526159-vladimir-gomelskiy-otvetil-fanatu-nazvavshemu-igroka-tsska-semena-antonova-posredstvennym/
8,1,An eyewitness described the reaction of American fans to Demin's actions,"""Complete silence."" An eyewitness described the reaction of American fans to Demin's actions",https://sport.rambler.ru/basketball/53525667-polnaya-tishina-ochevidets-opisal-reaktsiyu-amerikanskih-fanatov-na-deystviya-demina/
9,1,Redick talks plans for LeBron Davis in Lakers preseason games,Redick talks plans for LeBron Davis in Lakers' first preseason games,https://sport.rambler.ru/basketball/53525418-redik-vyskazalsya-o-planah-na-lebrona-i-devisa-v-pervyh-predsezonnyh-matchah-leykers/
10,1,Vedischev set several records as head coach of Lokomotiv-Kuban,Andrey Vedischev set several records as head coach of Lokomotiv-Kuban,https://sport.rambler.ru/basketball/53524837-andrey-vedischev-ustanovil-neskolko-rekordov-na-postu-glavnogo-trenera-lokomotiva-kuban/
