image number,alt,article_heading,article_url,description
image_1_1.jpg,Wembanyama names WNBA representative who inspires him,Wembanyama names WNBA representative who inspires him,https://sport.rambler.ru/basketball/53529516-vembanyama-nazval-predstavitelnitsu-wnba-kotoraya-vdohnovlyaet-ego/,"The image is a split-screen of two individuals, presumably athletes, given their attire and the context of the setting. On the left side of the image, there is a male athlete who appears to be a basketball player. He is holding a basketball in his right hand, which is raised to his chest level. The player is wearing a black and white basketball jersey with the word ""SPURS"" printed across the front, indicating he is associated with the San Antonio Spurs team. His facial expression is one of contentment or satisfaction, with a slight smile on his face.  On the right side of the image, there is a female athlete who appears to be a basketball player as well. She is wearing a black and yellow basketball jersey with the word ""IOWA"" printed across the front, suggesting she is associated with the University of Iowa's basketball team. Her facial expression is one of concern or focus, with her eyes looking slightly downward and her mouth closed.  Both athletes are standing against a blurred background that suggests an indoor setting, possibly a basketball court or a sports arena. The lighting is even, and the focus is on the athletes, making the background indistinct. The style of the image is a straightforward, side-by-side comparison, likely intended to highlight the players' uniforms and expressions."
image_2_1.jpg,LeBron James' Son Bronny Makes NBA Preseason Debut,LeBron James' Son Bronny Makes NBA Preseason Debut,https://sport.rambler.ru/basketball/53525211-syn-lebrona-dzheymsa-bronni-debyutiroval-v-predsezonnom-matche-nba/," The image depicts a basketball player in the midst of a game. The player is wearing a purple and yellow basketball jersey with the word ""LAKERS"" prominently displayed across the chest. The jersey is a zip-up style with a hood, suggesting it's designed for comfort and ease of movement. The player is holding a basketball with both hands, ready to pass or shoot. The player's facial expression is focused and intense, indicating concentration and readiness for the next move in the game. The background is blurred, but it appears to be an indoor basketball court with spectators in the stands, suggesting this is a professional or semi-professional game. The lighting is bright, likely from the arena's lighting system, and the atmosphere seems to be one of anticipation and excitement."
image_3_1.jpg,Draymond Green has paid over $3 million in suspensions during his NBA career.,Draymond Green has paid over $3 million in suspensions during his NBA career,https://sport.rambler.ru/basketball/53528488-dreymond-grin-vyplatil-za-kareru-v-nba-bolee-3-mln-za-diskvalifikatsii/,"The image depicts a basketball player in action on a court. The player is wearing a white and blue basketball jersey with the number 23 and the word ""Golden State"" printed on the front, indicating he is a member of the Golden State Warriors, a professional basketball team. The jersey also features the Nike swoosh logo on the front and the back. The player is holding a basketball in his right hand, which is raised and ready to be passed or shot. He appears to be in motion, possibly running or dribbling the ball. The background is blurred, but it suggests an indoor basketball arena with spectators in the stands, indicating that this is a live game or event. The lighting is bright, and the focus is on the player, capturing the intensity of the moment."
image_4_1.jpg,Caitlin Clarke Named WNBA Rookie of the Season,Caitlin Clark Named WNBA Rookie of the Season,https://sport.rambler.ru/basketball/53527012-keytlin-klark-priznana-novichkom-sezona-v-zhenskoy-nba/,"The image shows a female basketball player in the foreground, looking to the side with a focused expression. She is wearing a red jersey with the word ""FEVER"" in white capital letters across the chest, and the Nike swoosh logo is visible on the right side of the jersey. The jersey also features the name ""LULLY"" in white capital letters on the left side. The player has a white headband and appears to be indoors, possibly in an arena, given the red lighting and blurred background that suggests a crowd of spectators. The lighting is bright, highlighting the player's face and jersey, and creating a dramatic effect."
image_5_1.jpg,Almost all Maccabi legionnaires decided not to go to Israel after the Euroleague match,All Maccabi legionnaires except one decided not to travel to Israel after the Euroleague match,https://sport.rambler.ru/basketball/53526799-vse-legionery-makkabi-krome-odnogo-reshili-ne-ehat-v-izrail-posle-matcha-evroligi/,"The image shows a close-up of a person's right arm and hand holding a basketball. The basketball has a prominent design with the text ""TURKISH AIRLINES"" and ""EUROLEAGUE"" printed on it, indicating that it is associated with the EuroLeague, a professional basketball league in Europe. The person is wearing a black sports jersey, and there is a black electronic device clipped to the waistband of the pants, which could be a fitness tracker or a similar device. The background is blurred, but it appears to be an indoor setting, possibly a basketball court or a sports arena, given the presence of the basketball. The focus is on the basketball and the person's hand, with the background being out of focus."
image_6_1.jpg,CSKA player Avramovich named the three best matches of his career,"""Definitely."" CSKA player Alexa Avramovic named the three best matches of his career",https://sport.rambler.ru/basketball/53524665-odnoznachno-igrok-tsska-aleksa-avramovich-nazval-tri-luchshih-matcha-v-karere/,"The image captures a dynamic moment in a basketball game. The central figure is a basketball player, dressed in a white jersey with blue accents, who is in the midst of an impressive dunk. He is leaping into the air, his body fully extended, with the basketball held high above his head, ready to slam it into the hoop.  The player's jersey is marked with the number 5, indicating his position on the team. His focus and determination are evident in his posture and the way he grips the ball.  In the background, other players are visible, each in their respective positions on the court. Some are closer to the camera, while others are further away, creating a sense of depth in the image.  The court itself is a vibrant green, contrasting with the white lines that mark the playing area. The stands are filled with spectators, their attention riveted on the unfolding action on the court.  The image is a freeze-frame of a thrilling moment, capturing the athleticism and skill of the player as he executes his dunk. It's a snapshot of a sport that's as much about strategy and teamwork as it is about individual prowess."
image_7_1.jpg,Gomelsky responded to a fan who called CSKA player Antonov mediocre,Vladimir Gomelsky responded to a fan who called CSKA player Semyon Antonov mediocre,https://sport.rambler.ru/basketball/53526159-vladimir-gomelskiy-otvetil-fanatu-nazvavshemu-igroka-tsska-semena-antonova-posredstvennym/,"The image shows a man from the side, facing to the right. He appears to be middle-aged or older, with a balding head and a receding hairline. His skin has a reddened appearance, particularly noticeable on the left side of his face and neck. He is wearing glasses with a tortoiseshell frame, which are perched on the bridge of his nose. The man is dressed in a green suit jacket, and the background is a solid, dark color, providing a stark contrast to his attire. The lighting in the image is soft and even, casting gentle shadows on the man's face and suit. There are no visible texts or distinctive markings that provide additional context within the image."
image_8_1.jpg,An eyewitness described the reaction of American fans to Demin's actions,"""Complete silence."" An eyewitness described the reaction of American fans to Demin's actions",https://sport.rambler.ru/basketball/53525667-polnaya-tishina-ochevidets-opisal-reaktsiyu-amerikanskih-fanatov-na-deystviya-demina/,"The image depicts a young male basketball player in a gymnasium. He is wearing a basketball jersey with the letters ""BYU"" prominently displayed on the front, indicating he is associated with Brigham Young University. The jersey also features the number ""3"" on the front and back. The player is holding a basketball with his right hand, and his gaze is directed off to the side, suggesting he might be looking at something or someone not visible in the image. The lighting in the gymnasium is bright, with a focus on the player, creating a dramatic effect that highlights his figure against the background. The background itself is blurred, but it appears to be a typical basketball court with wooden floors and walls that reflect the light. The overall style of the image is a professional sports portrait, likely intended for promotional or media purposes."
image_9_1.jpg,Redick talks plans for LeBron Davis in Lakers preseason games,Redick talks plans for LeBron Davis in Lakers' first preseason games,https://sport.rambler.ru/basketball/53525418-redik-vyskazalsya-o-planah-na-lebrona-i-devisa-v-pervyh-predsezonnyh-matchah-leykers/,"The image depicts two basketball players on a court, both wearing yellow jerseys with the word ""Lakers"" printed across the front. The player on the left is wearing the jersey with the number ""6"" and has a beard, while the player on the right is wearing the jersey with the number ""3"" and also has a beard. Both players are looking off to the side, and their expressions are serious. The background is dark, suggesting an indoor setting, likely a basketball arena, with other players and spectators visible in the distance. The lighting is focused on the players, highlighting their features and the jerseys they are wearing."
image_10_1.jpg,Vedischev set several records as head coach of Lokomotiv-Kuban,Andrey Vedischev set several records as head coach of Lokomotiv-Kuban,https://sport.rambler.ru/basketball/53524837-andrey-vedischev-ustanovil-neskolko-rekordov-na-postu-glavnogo-trenera-lokomotiva-kuban/,"The image depicts a man standing in what appears to be a sports arena, possibly at a sporting event. The man is dressed in a dark suit with a tie, and he has a beard and mustache. He is looking off to the side with a serious expression on his face. The background is blurred, but it suggests a crowd of spectators, some of whom are wearing red and white, which could indicate they are fans of a particular team. There are also banners with text on them, but the text is not clearly legible. The lighting suggests an indoor setting, and the overall atmosphere seems to be that of a public event or gathering."
