article_number,image number,alt,article_heading
1,1,"""Stop LNG"": The activists rolled out a banner during their action. (Source: Ende Gelände)",Activists occupy LNG terminal – arrests
2,1,Federal Minister of Economics Robert Habeck (Greens archive photo): Heat pump entrepreneur Jan Ossenbrink praises the heating law but criticizes the federal government. (Source: Kay Nietfeld/dpa/dpa-bilder),"""It's a bureaucratic monster"""
3,1,A wind turbine after installation in the northwestern Chinese autonomous region of Xinjiang. (Source: Liu Zhenlu/XinHua/dpa/dpa-bilder),Wind power and solar energy are booming – in China
4,1,"China's energy policy (symbolic image): ""China had an influence on competitiveness."" (Source: imago/NurPhoto Xinhua Getty Images/xijian (Collage t-online)/imago-images-bilder)","""90 percent remain unused"""
5,1,A woman warms her hands on a heater: Will gas supplies be sufficient even in a harsh winter? (Source: SOPA Images/getty-images-bilder),Then the gas runs out in February
6,1,Electricity directly from the balcony: Self-produced solar power can still cost money. (Source: IMAGO / epd),This means that the income from the mini solar system remains tax-free
7,1,Netherlands: Activists block a cruise ship in Amsterdam. (Source: Screenshot X @NLRebellion ),Climate activists block holiday ships
8,1,Electricity generation from renewable energies has reached a record. (Source: Martin Schutt/dpa/dpa-bilder),Renewable energies with new record share
9,1,A woman cycles in front of the Eiffel Tower (archive photo): In Paris cars are increasingly being banned from the city center. (Source: Kiran Ridley/getty-images-bilder),Cars banned from city centre: the consequences for Paris
10,1,A new green electricity record was achieved in April. (Source: imago-images-bilder),Green electricity record in April
