article_number,image number,alt,article_heading,article_url
1,1,Eduardo Paes Tarcísio Motta and Alexandre Ramagem: the three candidates for Mayor of Rio are Vasco fans,Vasco invites Paes and Tarcísio after Ramagem calls Bolsonaro to the game,https://www.uol.com.br/esporte/futebol/ultimas-noticias/2024/10/05/vasco-convida-paes-e-tarcisio-apos-ramagem-chamar-bolsonaro-para-jogo.htm
2,1,Flamengo coach Filipe Luís gestures during the game against Corinthians,Flamengo gains respite after series of injuries and only has operations in DM,https://www.uol.com.br/esporte/futebol/ultimas-noticias/2024/10/05/flamengo-ganha-respiro-apos-serie-de-lesoes-e-tem-apenas-operados-no-dm.htm
3,1,Abel Ferreira talks to Jhon Jhon during Palmeiras training last year,Abel meets midfielder who left Palmeiras and 'could reach the best in the world',https://www.uol.com.br/esporte/futebol/ultimas-noticias/2024/10/05/abel-reve-meia-que-deixou-o-palmeiras-e-pode-chegar-aos-melhores-do-mundo.htm
3,2,Jhon Jhon from Bragantino disputes a move with Reinaldo from Grêmio during a match in the Brazilian Championship,Abel meets midfielder who left Palmeiras and 'could reach the best in the world',https://www.uol.com.br/esporte/futebol/ultimas-noticias/2024/10/05/abel-reve-meia-que-deixou-o-palmeiras-e-pode-chegar-aos-melhores-do-mundo.htm
4,1,Estêvão and Weverton celebrate a goal in Palmeiras' recreational training session this Friday (4),Palmeiras: Estêvão trains with the squad and could strengthen the team,https://www.uol.com.br/esporte/futebol/ultimas-noticias/2024/10/04/palmeiras-estevao-treina-integrado-ao-elenco-e-pode-reforcar-a-equipe.htm
5,1,The top four teams in the Brasileirão will face off in the last ten rounds,'Finals' and classics: See tables for Botafogo Palmeiras Fla and Fortaleza,https://www.uol.com.br/esporte/futebol/ultimas-noticias/2024/10/04/tabela-brasileirao-botafogo-palmeiras-fortaleza-flamengo.htm
6,1,Maurício has 14 games and three goals for Palmeiras,Mauricio establishes himself at Palmeiras and enjoys his longest run as a starter,https://www.uol.com.br/esporte/futebol/ultimas-noticias/gazeta-esportiva/2024/10/04/mauricio-consegue-se-firmar-no-palmeiras-apos-rapida-adaptacao-e-vive-maior-sequencia-como-titular.htm
7,1,Gabriel Jesus celebrates after scoring for Arsenal against Aston Villa in the Premier League,Palmeiras tries to sign Gabriel Jesus but Arsenal rules out deal,https://www.uol.com.br/esporte/futebol/ultimas-noticias/2024/10/04/palmeiras-ouve-nao-de-arsenal-e-gabriel-jesus-por-reforco-dos-sonhos.htm
7,2,Arsenal's Gabriel Jesus during a Premier League match,Palmeiras tries to sign Gabriel Jesus but Arsenal rules out deal,https://www.uol.com.br/esporte/futebol/ultimas-noticias/2024/10/04/palmeiras-ouve-nao-de-arsenal-e-gabriel-jesus-por-reforco-dos-sonhos.htm
8,1,Tite was fired from Flamengo after the 1-0 victory over Athletico-PR,Flamengo will pay R$4.8 million in termination fee to Tite,https://www.uol.com.br/esporte/futebol/ultimas-noticias/2024/10/03/flamengo-pagara-r-48-milhoes-de-multa-rescisoria-para-tite.htm
9,1,Stephen disputes with Victor Reis: he may return,Estêvão could play and Memphis could be a starter. PVC information and predictions,https://www.uol.com.br/esporte/colunas/pvc/2024/10/05/estevao-pode-jogar-e-memphis-ser-titular-informacoes-e-palpites-do-pvc.htm
10,1,Rodrigo Garro from Corinthians,Garro is the Corinthians player with the most yellow cards this season; see ranking,https://www.uol.com.br/esporte/futebol/ultimas-noticias/gazeta-esportiva/2024/10/04/rodrigo-garro-e-o-jogador-do-corinthians-com-mais-cartoes-amarelos-na-temporada-veja-ranking.htm
