website,category,article_number,image number,alt,article_heading,article_url
https://yahoo.co.jp/,Business,1,1,,"Red Cup Campaign aimed at ""Zero Hunger"" in Ion Kyushu Continued support companies and sales offices expanded ""Continued to be an educational activity with all employees""",https://news.yahoo.co.jp/articles/7d0948cfbfc85218ff590ee3af0100586643855f
https://yahoo.co.jp/,Business,2,1,,"We aim to double domestic stores ""Reduce the number of menus""... The essential reason for reducing the ""number of menus"" that the psyze is",https://news.yahoo.co.jp/articles/6b6629c49f9a1fbd4bab2b64abdf91c62f5ec0f6
https://yahoo.co.jp/,Business,3,1,,AUTECH SPORTS SPEC dedicated to Serena e-POWER,https://news.yahoo.co.jp/articles/c89bd25f5427dff113a366021009c1b4580fb58d
https://yahoo.co.jp/,Business,4,1,,"Why is new condominium away"" happening... A big problem in housing policy that raises stealth prices with ""high narrow team""""",https://news.yahoo.co.jp/articles/1b309d73b171a6635e371fc1dc2bf310eed72356
https://yahoo.co.jp/,Business,5,1,,"【Expect 20 wins and 50 home runs with a two-sword stream next season 】 Dodgers Shohei Otani ""Sponsor contract that increases as you do"" Sportsmakers will inspect “ Condition negotiations ” Behind",https://news.yahoo.co.jp/articles/43b0c4057145bb027c0d4a3c80ef5898aa777f99
https://yahoo.co.jp/,Business,6,1,,"What is the ""world's first proprietary supersonic jet"" maneuver? Video of ""21st Century Concorde"" manufacturer's test machine pressure volume released",https://news.yahoo.co.jp/articles/815b3a27af8c0b048580645f7d0ed70ea4a41a62
https://yahoo.co.jp/,Business,7,1,,"Earnings are all my own...but! ?　 Why are there fewer people aiming for the once final goal of ""individual taxis""?",https://news.yahoo.co.jp/articles/9a919de316ff7fe448a0f7a783e1946254eef958
https://yahoo.co.jp/,Business,8,1,,"Nissan Z33 ""Fair Lady Z"" transfers from Drift S14 ""Silvia""! "" I was particular about audio so that I could hear a single note of the guitar.",https://news.yahoo.co.jp/articles/de82ecc72de4400a4f4f48027ecb878bf285fde7
https://yahoo.co.jp/,Business,9,1,,Second trampo plan spin-off!! That model is a trampo!! Let's refresh the trampo too!!,https://news.yahoo.co.jp/articles/4e97ba23ccfb8e4b6ee6bc4dba12181ff1238584
https://yahoo.co.jp/,Business,10,1,,"Is it okay to overtake “ overtake ”? ""No good thing""! ? I actually listened",https://news.yahoo.co.jp/articles/fbdb0195850077b35604aedb9f11bc57fc4b7455
