website,category,article_number,image number,alt,article_heading,article_url
https://yahoo.co.jp/,World,1,1,,"Harris a strong employer and a poor US presidential election for Trump in the ""economy""",https://news.yahoo.co.jp/articles/3748bcfa54e71a0b4665f7fb6235287f041d8425
https://yahoo.co.jp/,World,2,1,,"Mr. Harris not strong employer = In ""Economy"" Mr. Trump is inferior ― US presidential election",https://news.yahoo.co.jp/articles/aee4baaa68a28ea43406aaefb251470e5cbe386d
https://yahoo.co.jp/,World,3,1,,"coexistence or swaying heart ＝ Hamas attacked Israeli population ― ""neighbors"" Palestinians in Gaza and Gaza clash 1 year",https://news.yahoo.co.jp/articles/fc98380c21fba3c036030e86033b303bf88ea9e6
https://yahoo.co.jp/,World,4,1,,"Residents of Gaza ""I can't stay normal"" Israel hatred of the first sinful children",https://news.yahoo.co.jp/articles/c5bb4a519f055460470c836a0e6ea18821babe4f
https://yahoo.co.jp/,World,5,1,,"Middle-morning relationship followed by ""gap breeze"" 6 days national assembly 75 years Solidarity appeal is also distrustful",https://news.yahoo.co.jp/articles/d039d1840892e2be0c08310aa6ab767f71e3c713
https://yahoo.co.jp/,World,6,1,,"Signs of revival in Europe Islamic extremist terrorism SNS ""education"" · Gaza clash 1 year",https://news.yahoo.co.jp/articles/1ac59305d3644b6c4c26a45b439854db9033bac8
https://yahoo.co.jp/,World,7,1,,Holy Water Cave Han River Kitamura and... What's the autumn walking spot in Seoul?,https://news.yahoo.co.jp/articles/b01fff2915241bca650d7f607fc46e1c9aadd5b8
https://yahoo.co.jp/,World,8,1,,"Human Rights Watch and others publish reports on universities in Hong Kong. Academic freedom has dropped significantly pointing out that ""many students and faculty are targeted by attacks.""",https://news.yahoo.co.jp/articles/58edb1c057a4c33b446b0b039e80f70892867b9f
https://yahoo.co.jp/,World,9,1,,Eron Musk an election rally at the location of the attempted murder case before President Trump also participated for the first time,https://news.yahoo.co.jp/articles/08effdcc9b7add3add591485e5db25b71833eb0b
https://yahoo.co.jp/,World,10,1,,"Torture named ""Interrogation"" in a room where the ceiling crawls... Reunion of ""impression"" with mother who has survived hell in Iran prison",https://news.yahoo.co.jp/articles/80ec243016aee8b7f46e281b7f75081ee2289dbd
