,image_1_0,image_1_1,image_1_2,image_2_0,image_3_0,image_4_0,image_5_0,image_6_0,image_7_0,image_8_0,image_9_0,image_10_0
image_1_0,4,0,0,4,0,0,0,0,4,0,0,0
image_1_1,0,4,0,0,0,0,0,0,0,0,0,0
image_1_2,0,0,4,4,0,0,0,0,4,0,0,0
image_2_0,4,0,4,4,0,0,0,0,0,0,0,0
image_3_0,0,0,0,0,4,0,0,4,0,0,0,0
image_4_0,0,0,0,0,0,4,0,0,0,0,0,0
image_5_0,0,0,0,0,0,0,4,0,0,0,0,0
image_6_0,0,0,0,0,4,0,0,4,0,0,0,0
image_7_0,4,0,4,0,0,0,0,0,4,0,0,0
image_8_0,0,0,0,0,0,0,0,0,0,4,0,0
image_9_0,0,0,0,0,0,0,0,0,0,0,4,0
image_10_0,0,0,0,0,0,0,0,0,0,0,0,4
