,image_1_0,image_1_1,image_2_0,image_2_1,image_2_2,image_2_3,image_3_0,image_3_1,image_4_0,image_4_1,image_5_0,image_5_1,image_6_0,image_7_0,image_7_1,image_8_0,image_9_0,image_10_0
image_1_0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1_1,0,4,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
image_2_0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2_1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2_2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2_3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_3_0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_3_1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_4_0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_4_1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
image_5_0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_5_1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0
image_6_0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_7_0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_7_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_8_0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0
image_9_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_10_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
