website,category,article_number,article_url,page_weight_in_bytes
yahoo.co.jp,World,1,https://news.yahoo.co.jp/articles/3748bcfa54e71a0b4665f7fb6235287f041d8425,2273481
yahoo.co.jp,World,2,https://news.yahoo.co.jp/articles/aee4baaa68a28ea43406aaefb251470e5cbe386d,2461439
yahoo.co.jp,World,3,https://news.yahoo.co.jp/articles/fc98380c21fba3c036030e86033b303bf88ea9e6,2408012
yahoo.co.jp,World,4,https://news.yahoo.co.jp/articles/c5bb4a519f055460470c836a0e6ea18821babe4f,2303704
yahoo.co.jp,World,5,https://news.yahoo.co.jp/articles/d039d1840892e2be0c08310aa6ab767f71e3c713,2278901
yahoo.co.jp,World,6,https://news.yahoo.co.jp/articles/1ac59305d3644b6c4c26a45b439854db9033bac8,2458452
yahoo.co.jp,World,7,https://news.yahoo.co.jp/articles/b01fff2915241bca650d7f607fc46e1c9aadd5b8,2467525
yahoo.co.jp,World,8,https://news.yahoo.co.jp/articles/58edb1c057a4c33b446b0b039e80f70892867b9f,7461
yahoo.co.jp,World,9,https://news.yahoo.co.jp/articles/08effdcc9b7add3add591485e5db25b71833eb0b,7438
yahoo.co.jp,World,10,https://news.yahoo.co.jp/articles/80ec243016aee8b7f46e281b7f75081ee2289dbd,2242546
yahoo.co.jp,Sports,1,https://news.yahoo.co.jp/articles/23a684e5cfce400a671b17798c358092656be43e,2494180
yahoo.co.jp,Sports,2,https://news.yahoo.co.jp/articles/f5c665cbc986c942101bfbecb305d468d557a165,2574281
yahoo.co.jp,Sports,3,https://news.yahoo.co.jp/articles/c2bf4d7a8ad3f1d76cd54f85b57a870d9e111766,2484223
yahoo.co.jp,Sports,4,https://news.yahoo.co.jp/articles/ba9e5e20b6401ce520cee3933ed693680523b986,2368828
yahoo.co.jp,Sports,5,https://news.yahoo.co.jp/articles/ac7ba0197434b5971ee56a8e3251c34d6c04af97,2507335
yahoo.co.jp,Sports,6,https://news.yahoo.co.jp/articles/f186b1ecf3ac4e4056e56632d942e0545e5d2060,2519901
yahoo.co.jp,Sports,7,https://news.yahoo.co.jp/articles/2dfedcd5d649a3241059a5edabe4bb25cab59876,2340181
yahoo.co.jp,Sports,8,https://news.yahoo.co.jp/articles/bf2bf7a0ee102e7049f97f0f15e3af601d66e788,2398927
