,image_4984,image_9188,image_6237,image_4866,image_9278,image_7203,image_9125,image_707,image_1769,image_1436,image_3365,image_3620,image_5818,image_1582,image_1624
image_4984,4,0,0,0,0,0,0,0,0,1,1,0,1,1,1
image_9188,0,4,0,0,0,0,0,0,0,1,1,0,1,1,1
image_6237,0,0,4,0,0,0,0,0,0,1,1,0,1,1,1
image_4866,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_9278,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_7203,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_9125,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_707,0,0,0,0,0,0,0,4,0,1,1,0,1,1,1
image_1769,0,0,0,0,0,0,0,0,4,1,1,0,1,1,1
image_1436,1,1,1,0,0,0,0,1,1,4,4,1,4,4,4
image_3365,1,1,1,0,0,0,0,1,1,4,4,1,4,4,4
image_3620,0,0,0,0,0,0,0,0,0,1,1,4,1,1,1
image_5818,1,1,1,0,0,0,0,1,1,4,4,1,4,4,4
image_1582,1,1,1,0,0,0,0,1,1,4,4,1,4,4,4
image_1624,1,1,1,0,0,0,0,1,1,4,4,1,4,4,4
