,image_9528,image_1746,image_8579,image_594,image_1919,image_5544,image_5870,image_9632,image_6491,image_620,image_6270,image_5257,image_1275,image_8364,image_5142,image_7078,image_1398,image_3258,image_718,image_3487
image_9528,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1746,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8579,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_594,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1919,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5544,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
image_5870,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
image_9632,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_6491,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_620,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_6270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_5257,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_1275,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_8364,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_5142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_7078,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
image_1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_3258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
