,image_3278,image_9641,image_6021,image_8137,image_3181,image_7187,image_3475,image_7741,image_2224,image_1866,image_3740,image_5216
image_3278,4,0,1,1,0,1,3,0,0,0,0,0
image_9641,0,4,2,2,0,0,0,0,0,0,0,0
image_6021,1,2,4,4,1,4,0,0,1,1,1,1
image_8137,1,2,4,4,1,2,0,0,1,2,2,1
image_3181,0,0,1,1,4,0,0,0,0,0,0,0
image_7187,1,0,4,2,0,4,1,0,0,1,1,0
image_3475,3,0,0,0,0,1,4,0,0,0,0,0
image_7741,0,0,0,0,0,0,0,4,0,0,0,0
image_2224,0,0,1,1,0,0,0,0,4,0,0,0
image_1866,0,0,1,2,0,1,0,0,0,4,0,0
image_3740,0,0,1,2,0,1,0,0,0,0,4,0
image_5216,0,0,1,1,0,0,0,0,0,0,0,4
