,image_4584,image_9083,image_1904,image_2913,image_3855,image_9782,image_9543,image_2543,image_7500,image_2608,image_5314,image_9349,image_5622
image_4584,4,0,0,0,0,0,0,0,1,0,0,0,0
image_9083,0,4,0,0,0,0,0,0,0,0,0,0,0
image_1904,0,0,4,0,0,0,0,0,0,0,0,0,0
image_2913,0,0,0,4,0,0,4,0,0,0,0,0,0
image_3855,0,0,0,0,4,0,3,0,0,0,0,0,0
image_9782,0,0,0,0,0,4,0,0,0,0,0,0,0
image_9543,0,0,0,4,3,0,4,0,0,0,0,0,0
image_2543,0,0,0,0,0,0,0,4,0,0,0,0,0
image_7500,1,0,0,0,0,0,0,0,4,0,0,0,0
image_2608,0,0,0,0,0,0,0,0,0,4,0,2,0
image_5314,0,0,0,0,0,0,0,0,0,0,4,1,0
image_9349,0,0,0,0,0,0,0,0,0,2,1,4,0
image_5622,0,0,0,0,0,0,0,0,0,0,0,0,4
