,image_1105,image_589,image_7456,image_6638,image_9709,image_6517,image_5844,image_8577,image_6960,image_5840,image_3714,image_3365,image_9233,image_1632
image_1105,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_589,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_7456,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_6638,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_9709,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_6517,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_5844,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_8577,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_6960,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_5840,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_3714,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_3365,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_9233,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_1632,0,0,0,0,0,0,0,0,0,0,0,0,0,4
