,image_5152,image_4164,image_9299,image_2704,image_8808,image_4010,image_2300,image_4626,image_8183,image_220,image_1250,image_5438,image_1455,image_8383,image_2397,image_2935,image_6124,image_4908,image_5192
image_5152,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0
image_4164,0,4,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0
image_9299,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2704,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8808,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4010,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2300,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0
image_4626,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
image_8183,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0
image_220,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_1250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_5438,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3
image_1455,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3
image_8383,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_2397,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_2935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_6124,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,3
image_4908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_5192,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,4
