,image_1893,image_4399,image_4189,image_2791,image_8015,image_1324,image_7026,image_8186,image_8284,image_5709,image_7573,image_3423,image_3268,image_82,image_9653,image_4258,image_446,image_7824,image_8772
image_1893,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4399,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4189,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2791,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
image_8015,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1324,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7026,0,0,0,2,0,0,4,1,2,0,0,0,0,0,0,0,0,0,1
image_8186,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
image_8284,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0
image_5709,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_7573,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_3423,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_3268,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_82,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_9653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_4258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_7824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_8772,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
