,image_4162,image_3594,image_2798,image_8769,image_2442,image_9620,image_4089,image_9665,image_9949,image_8184,image_5267,image_343,image_157,image_3649,image_7101,image_2584,image_5138,image_5661,image_15,image_280
image_4162,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,3,0
image_3594,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2798,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8769,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2442,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_9620,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0
image_4089,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_9665,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,2,0,0,0
image_9949,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,0
image_8184,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_5267,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_343,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_157,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_3649,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0
image_7101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_2584,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
image_5138,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,1,2,0
image_5661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
image_15,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,4,0
image_280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
