,image_4364,image_2624,image_3947,image_9887,image_648,image_3652,image_990,image_8976,image_7687,image_2793,image_1495,image_19,image_4437
image_4364,4,0,0,0,0,0,0,0,0,0,0,1,0
image_2624,0,4,0,0,0,0,0,0,0,0,0,0,0
image_3947,0,0,4,0,0,0,0,0,0,0,0,0,0
image_9887,0,0,0,4,0,0,0,0,0,0,0,0,0
image_648,0,0,0,0,4,0,0,0,0,0,0,0,0
image_3652,0,0,0,0,0,4,0,0,0,0,0,0,0
image_990,0,0,0,0,0,0,4,0,0,0,0,0,0
image_8976,0,0,0,0,0,0,0,4,0,2,0,0,0
image_7687,0,0,0,0,0,0,0,0,4,0,0,0,0
image_2793,0,0,0,0,0,0,0,2,0,4,0,0,0
image_1495,0,0,0,0,0,0,0,0,0,0,4,0,0
image_19,1,0,0,0,0,0,0,0,0,0,0,4,0
image_4437,0,0,0,0,0,0,0,0,0,0,0,0,4
