,image_721,image_4802,image_5049,image_2842,image_9607,image_7684,image_2315,image_8457,image_3460,image_5964,image_9066,image_4619,image_8266,image_4482,image_1919,image_6823,image_1664,image_4311
image_721,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
image_4802,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5049,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2842,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_9607,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7684,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_2315,2,0,0,0,0,0,4,0,0,1,0,0,3,2,2,0,0,0
image_8457,0,0,0,0,0,0,0,4,0,0,0,0,3,2,2,0,0,0
image_3460,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0
image_5964,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
image_9066,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_4619,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_8266,0,0,0,0,0,0,3,3,3,0,0,0,4,0,0,0,0,0
image_4482,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0
image_1919,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0
image_6823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_4311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
