,image_5517,image_1382,image_3277,image_6504,image_2201,image_240,image_3326,image_9368,image_7445,image_1129,image_6206,image_3953,image_274,image_5886,image_6386,image_3512,image_4322,image_9687,image_8657,image_310,image_2299,image_2517,image_4769,image_8221,image_479,image_8792,image_1125,image_5558,image_9887,image_8648,image_5203,image_6741,image_9257,image_4258,image_2473,image_7829
image_5517,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1382,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3277,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6504,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2201,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_240,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3326,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_9368,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7445,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1129,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6206,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3953,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0
image_274,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
image_5886,0,0,0,0,0,0,4,0,0,0,0,1,4,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
image_6386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3512,0,0,0,0,0,1,0,0,0,0,0,4,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
image_4322,0,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
image_9687,0,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
image_8657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
