,image_3861,image_8692,image_4734,image_2612,image_1321,image_4292,image_4478,image_8844,image_4586,image_7949,image_9840,image_5526,image_9355,image_9059,image_1582,image_7088,image_339,image_3193,image_1091,image_5486,image_2067
image_3861,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
image_8692,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4734,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
image_2612,0,0,0,4,0,1,0,2,0,2,2,2,3,0,0,0,0,0,0,0,0
image_1321,1,0,4,0,4,0,0,2,0,2,1,0,0,0,0,0,0,3,3,0,0
image_4292,0,0,0,1,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
image_4478,0,0,0,0,0,0,4,0,0,2,3,0,2,0,0,0,0,0,0,0,0
image_8844,0,0,0,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4586,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_7949,0,0,0,2,2,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0
image_9840,0,0,0,2,1,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0
image_5526,0,0,0,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
image_9355,0,0,0,3,0,0,2,0,0,0,3,2,4,0,0,0,0,0,0,0,0
image_9059,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_7088,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
image_339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_3193,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_1091,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_5486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
