,image_3763,image_903,image_9246,image_7962,image_2065,image_1594,image_228,image_4328,image_5767,image_3022,image_7772,image_9837,image_5592,image_1771,image_3131,image_9463,image_5894,image_5248,image_9149,image_7986,image_4006,image_4517,image_1327,image_1109,image_3022.1,image_514,image_8048,image_3346,image_766,image_3315,image_2900,image_2061,image_4246,image_990,image_4215,image_9158,image_7226,image_6462
image_3763,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_903,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_9246,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7962,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2065,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1594,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_228,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,2
image_4328,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
image_5767,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
image_3022,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
image_7772,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
image_9837,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,1,1,1,1,1,0,0,2,0,2,0,0,2,3,1,0,0,0,0,0
image_5592,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,2,2,2,3,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0
image_1771,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
image_3131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0
image_9463,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,4,4,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0
image_5894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
image_5248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,1,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0
image_9149,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
image_7986,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,4,1,4,0,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
image_4006,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,1,4,0,0,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
image_4517,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1327,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
image_1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0
image_3022,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0
image_514,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,0,0,0,0
image_8048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_3346,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_3315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_2900,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,1,1,1,1,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_2061,0,0,0,0,0,0,0,0,0,2,2,3,2,2,2,1,2,1,2,1,1,0,2,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0
image_4246,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,4,0,0,0,0,0
image_990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_4215,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_9158,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_7226,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_6462,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
