,image_7399,image_1516,image_9450,image_7145,image_452,image_3279,image_1556,image_5480,image_4940,image_465,image_3235,image_6501,image_2220,image_2010,image_8749,image_175,image_2980,image_3315,image_9838,image_9606,image_6635,image_2726,image_4585,image_3744,image_6324
image_7399,4,0,0,0,0,0,0,0,0,0,0,3,1,1,0,4,2,0,0,0,0,0,1,0,2
image_1516,0,4,0,0,0,0,0,0,0,0,0,2,3,0,0,2,4,0,0,0,0,0,0,3,3
image_9450,0,0,4,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7145,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_452,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3279,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1556,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5480,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4940,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_465,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3235,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6501,3,2,0,0,0,0,0,0,0,0,0,4,0,2,1,3,3,0,0,0,0,0,0,3,3
image_2220,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,0,0,0,0,0,0,4,3
image_2010,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0
image_8749,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
image_175,4,2,0,0,0,0,0,0,0,0,0,3,2,2,0,4,0,0,0,0,0,0,0,1,2
image_2980,2,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0
image_3315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_9838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_9606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_6635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_4585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_3744,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,4,0
image_6324,2,3,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,4
