,image_3504,image_4,image_179,image_8351,image_8016,image_484,image_3001,image_6262,image_9993,image_522,image_7964,image_5917,image_9350,image_3756,image_7053,image_5253,image_2944,image_4025,image_3295,image_2852,image_8737,image_1703,image_1249,image_9878
image_3504,4,0,2,4,2,3,2,3,1,1,1,4,4,0,3,4,3,1,1,4,0,1,3,3
image_4,0,4,3,1,0,0,4,2,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,0
image_179,2,3,4,0,1,3,0,2,0,4,4,2,3,0,3,0,0,4,4,2,0,2,2,0
image_8351,4,1,0,4,2,4,0,3,0,3,3,4,4,0,4,3,0,2,2,3,0,3,0,0
image_8016,2,0,1,2,4,0,0,1,0,1,1,1,2,0,1,1,0,1,1,1,0,4,1,0
image_484,3,0,3,4,0,4,0,3,0,1,1,1,4,0,3,3,0,1,2,3,0,1,4,0
image_3001,2,4,0,0,0,0,4,2,0,0,0,2,2,4,1,2,4,0,0,1,4,0,0,0
image_6262,3,2,2,3,1,3,2,4,0,2,2,3,4,0,3,4,0,1,1,3,0,1,3,0
image_9993,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_522,1,0,4,3,1,1,0,2,0,4,0,1,0,0,3,0,0,4,4,1,0,1,3,2
image_7964,1,0,4,3,1,1,0,2,0,0,4,1,3,0,3,1,0,4,4,0,0,1,3,2
image_5917,4,0,2,4,1,1,2,3,0,1,1,4,0,0,3,4,2,1,0,4,1,1,3,2
image_9350,4,0,3,4,2,4,2,4,0,0,3,0,4,0,0,4,2,2,2,3,0,0,4,2
image_3756,0,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0
image_7053,3,0,3,4,1,3,1,3,0,3,3,3,0,0,4,0,0,3,3,3,0,1,3,1
image_5253,4,0,0,3,1,3,2,4,0,0,1,4,4,0,0,4,0,0,1,4,0,0,3,0
image_2944,3,4,0,0,0,0,4,0,0,0,0,2,2,0,0,0,4,1,0,0,3,0,0,0
image_4025,1,0,4,2,1,1,0,1,0,4,4,1,2,0,3,0,1,4,0,1,0,1,2,1
image_3295,1,0,4,2,1,2,0,1,0,4,4,0,2,0,3,1,0,0,4,1,0,1,3,1
image_2852,4,0,2,3,1,3,1,3,0,1,0,4,3,0,3,4,0,1,1,4,0,1,3,1
image_8737,0,4,0,0,0,0,4,0,0,0,0,1,0,4,0,0,3,0,0,0,4,0,0,0
image_1703,1,0,2,3,4,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,4,0,0
image_1249,3,0,2,0,1,4,0,3,0,3,3,3,4,0,3,3,0,2,3,3,0,0,4,0
image_9878,3,0,0,0,0,0,0,0,0,2,2,2,2,0,1,0,0,1,1,1,0,0,0,4
