,image_6046,image_6122,image_9142,image_1189,image_4455,image_944,image_623,image_86,image_3224,image_8256,image_5266,image_1477,image_8030,image_4016,image_5009,image_8305,image_3448,image_8759,image_7880,image_272,image_1864
image_6046,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
image_6122,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0
image_9142,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1189,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4455,0,0,0,0,4,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0
image_944,0,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0
image_623,0,0,0,0,0,0,4,0,0,2,2,1,1,1,0,0,0,0,0,0,0
image_86,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0
image_3224,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,2,2,0,0,0
image_8256,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0
image_5266,1,0,0,0,3,3,2,2,2,0,4,0,0,0,0,3,3,3,1,1,1
image_1477,0,0,0,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_8030,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_4016,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_5009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_8305,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0
image_3448,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,4,0,0,0,0
image_8759,0,1,0,0,2,2,0,0,2,0,3,0,0,0,0,0,0,4,0,0,0
image_7880,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0
image_272,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
image_1864,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
