,image_1410,image_4050,image_2579,image_1107,image_9847,image_3500,image_2481,image_2439,image_6214,image_7052,image_5571,image_2279,image_2535,image_1297,image_4799,image_3428,image_1601,image_7472,image_8531,image_8215,image_9526,image_3617,image_46,image_2834,image_5983,image_9103,image_3295,image_6597
image_1410,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
image_4050,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,3,0,2
image_2579,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,3,0,3
image_1107,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
image_9847,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0
image_3500,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0
image_2481,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0
image_2439,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0
image_6214,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0
image_7052,1,1,2,1,0,0,0,0,0,4,1,1,1,0,0,1,0,0,1,2,2,2,1,1,1,2,0,2
image_5571,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0
image_2279,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0
image_2535,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0
image_1297,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
image_4799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,0,0,0,0,0,0,0,0,0
image_3428,0,0,0,0,2,3,3,3,3,1,1,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
image_1601,0,0,0,0,2,3,3,3,3,0,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
image_7472,0,0,0,0,2,3,3,3,3,0,1,1,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0
image_8531,0,0,0,0,2,3,3,3,3,1,2,2,3,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
image_8215,1,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,1,0,2
image_9526,1,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,1,0,2
image_3617,1,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,0,2
image_46,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,2,0,0
image_2834,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,2,0,0
image_5983,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,2,0,0
image_9103,1,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,4,0,0
image_3295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_6597,1,2,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,4
