,image_8245,image_9411,image_4542,image_3734,image_8695,image_1962,image_1591,image_8361,image_5375,image_7461,image_2346,image_6101
image_8245,4,1,1,0,0,0,0,0,0,0,0,0
image_9411,1,4,0,0,0,0,0,0,0,0,0,0
image_4542,1,0,4,0,0,0,0,0,0,0,0,0
image_3734,0,0,0,4,0,0,0,0,0,0,4,0
image_8695,0,0,0,0,4,0,0,0,0,0,0,0
image_1962,0,0,0,0,0,4,0,0,0,0,0,0
image_1591,0,0,0,0,0,0,4,0,0,0,0,0
image_8361,0,0,0,0,0,0,0,4,0,0,0,0
image_5375,0,0,0,0,0,0,0,0,4,0,0,0
image_7461,0,0,0,0,0,0,0,0,0,4,0,0
image_2346,0,0,0,4,0,0,0,0,0,0,4,0
image_6101,0,0,0,0,0,0,0,0,0,0,0,4
