,image_4964,image_779,image_863,image_9339,image_3459,image_2909,image_5853,image_6772,image_6646,image_5359,image_9462,image_1157,image_3471,image_1908,image_51,image_8561,image_5417,image_9040,image_3248,image_3073
image_4964,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_779,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_863,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_9339,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3459,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2909,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5853,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6772,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_6646,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_5359,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_9462,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_1157,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_3471,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_1908,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_8561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_5417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_9040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_3248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
